name,streaming,network,mentions,regex-mentions,score,regex-score,consecutive,gain,total mentions,total-regex-mentions,total top,last date,total score,total-regex-score,week added
Better,BBC iPlayer,,48,47,224,223,24,3,1237,1207,24,,6381,6275,7
Will,N/A,TNT,34,33,163,161,24,-2,1175,1113,24,,5878,5547,7
Justified,N/A,FX,27,27,167,167,2,5,198,190,6,,1084,1037,1
Hijack,Apple TV+,,24,22,142,134,5,-12,130,116,5,,954,887,13
The Bear,Hulu,,19,19,108,108,6,-2,299,261,8,,2685,2463,1
Black,N/A,OCN,18,14,93,77,12,2,540,447,28,,3067,2597,1
Ted Lasso,Apple TV+,,16,14,71,65,1,8,528,478,23,,4248,3912,1
Invasion,Apple TV+,,15,14,130,80,6,-1,105,95,6,,816,691,1
Primeval,N/A,W,15,15,99,99,1,10,36,33,1,,246,228,1
Strange,N/A,BBC One,15,13,85,81,6,0,266,190,11,,1376,1082,1
Secret Invasion,Disney+,,14,13,129,79,6,-2,91,83,6,,748,628,1
Star Trek,N/A,NBC,14,13,90,88,4,2,220,205,8,,1448,1402,1
Ride,N/A,Hallmark Channel,13,12,95,77,2,-3,127,119,3,,1019,961,16
Trying,Apple TV+,,12,12,94,94,3,-5,448,419,28,,2307,2181,1
Shadow,Netflix,,12,4,83,16,2,-5,160,85,6,,1035,523,1
Warrior,Max,,12,12,79,79,6,-3,177,146,6,,1413,1214,1
New Worlds,N/A,Channel 4,12,11,77,76,3,0,110,106,5,,722,713,1
New World,Netflix,,12,1,77,2,3,0,120,9,5,,796,59,1
Hunter,N/A,CBS,12,11,69,61,2,-8,139,63,4,,758,377,1
Loving,N/A,ABC,11,11,76,76,1,2,309,295,18,,2375,2284,1
Away,Netflix,,11,11,51,51,1,7,299,265,19,,1874,1709,1
Release,Topic,,11,7,38,19,1,7,263,82,11,01-08-2023,1420,355,1
The British,N/A,Sky Atlantic,11,11,34,34,1,5,220,203,7,,1169,1088,1
Lost,N/A,jTBC,10,10,62,62,17,-6,440,413,24,,2397,2246,1
Full Circle,Max,,10,10,57,57,1,1,25,24,1,,122,121,1
Sona,YouTube,,10,0,53,0,3,0,430,5,27,,2140,35,1
Class,Netflix,,10,5,45,15,1,2,298,154,11,,2075,1122,1
Severance,Apple TV+,,10,10,37,37,1,2,374,302,19,01-08-2023,2385,1957,1
Catch,N/A,NPO 3,9,8,87,74,0,0,276,195,11,26-07-2023,1905,1431,1
Foundation,Apple TV+,,9,9,66,66,0,0,118,108,2,26-07-2023,832,793,1
The Foundation,N/A,Showcase,9,9,66,66,0,0,113,108,2,26-07-2023,810,793,1
Murder,N/A,BBC Two,9,4,59,33,0,0,287,145,9,26-07-2023,1694,892,1
The Americans,N/A,NBC,9,7,48,41,0,0,220,194,8,,1535,1413,1
Persona,Netflix,,9,0,48,0,0,0,359,5,18,,1773,35,1
House,N/A,FOX,9,7,45,33,0,0,347,276,17,26-07-2023,1766,1390,1
Sign,N/A,TV Asahi,9,2,35,14,0,0,179,71,4,,969,418,1
Barry,N/A,HBO,9,9,22,22,0,0,489,453,15,26-07-2023,4119,3857,1
Family,N/A,ITV1,9,9,16,16,0,0,343,308,20,26-07-2023,1805,1577,1
Bosch,Prime Video,,9,9,13,13,0,0,81,68,0,,500,425,1
The Righteous Gemstones,N/A,HBO,8,8,69,69,0,0,105,99,4,26-07-2023,996,947,1
Shadows,N/A,ITV1,8,7,67,64,0,0,54,46,1,26-07-2023,365,325,1
What We Do in the Shadows,N/A,FX,8,7,67,64,0,0,50,44,1,26-07-2023,348,325,1
The Rig,Prime Video,,8,0,66,0,0,0,185,13,6,26-07-2023,1225,61,1
The Plot,Disney+,,8,8,65,65,0,0,273,227,8,,1631,1346,1
The After,Prime Video,,8,0,49,0,0,0,64,5,1,26-07-2023,451,27,1
The Afterparty,Apple TV+,,8,8,49,49,0,0,48,43,1,26-07-2023,315,295,1
Toon,KPN Presenteert,,8,7,37,32,0,0,76,56,0,,405,335,1
Breaking Bad,N/A,AMC,8,8,35,35,0,0,248,223,10,26-07-2023,1379,1270,1
Review,N/A,Comedy Central,8,3,34,22,0,0,283,68,12,,1485,342,1
Happy,N/A,NBC,8,8,29,29,0,0,387,360,22,26-07-2023,2234,2039,1
Detective,N/A,Lifetime,8,8,27,27,0,0,224,199,7,,1418,1294,1
Jury Duty,Amazon Freevee,,7,6,90,84,0,0,46,45,0,,410,404,21
STAT,N/A,ICI Radio-Canada Télé,7,1,60,8,0,0,251,6,13,,1491,31,6
The Middle,N/A,ABC,7,7,54,54,0,0,143,129,0,,878,769,1
Finally,N/A,MBC,7,7,47,47,0,0,198,197,10,,1762,1740,14
MINDHUNTER,Netflix,,7,7,44,44,0,0,59,44,1,26-07-2023,374,277,1
Switch,N/A,ITV2,7,3,39,35,0,0,66,30,0,,340,182,1
Riot,N/A,FOX,7,6,38,26,0,0,179,144,5,26-07-2023,1073,962,1
Chance,Hulu,,7,7,36,36,0,0,195,162,7,,1015,878,1
Home,Apple TV+,,7,1,33,1,0,0,237,113,5,,1236,623,1
Delete,Netflix,,7,0,31,0,0,0,191,4,5,,454,13,1
The Deleted,fullscreen,,7,7,31,31,0,0,177,166,4,,433,414,1
Case,N/A,Stöð 2,7,5,23,19,0,0,269,216,10,,1433,1157,1
Stupid,N/A,BBC One,7,6,17,16,0,0,162,126,1,,650,465,1
Random,YouTube,,7,5,14,7,0,0,125,83,0,,521,301,1
Politi,TV 2 Play,,6,0,68,0,0,0,10,0,0,,82,0,31
Halt and Catch Fire,N/A,AMC,6,6,56,56,0,0,84,73,1,,614,553,1
The English,BBC iPlayer,,6,6,48,48,0,0,140,117,3,,680,530,1
Shrink,Seeso,,6,0,47,0,0,0,320,5,15,,2614,41,1
Shrinking,Apple TV+,,6,6,47,47,0,0,314,292,15,,2579,2413,1
Gone,N/A,Investigation Discovery,6,5,43,33,0,0,122,110,0,,694,657,1
The Leftovers,N/A,HBO,6,5,41,38,0,0,259,230,8,,1430,1274,1
Aile,N/A,Show TV,6,0,35,0,0,0,244,0,11,26-07-2023,1187,0,4
Silo,Apple TV+,,6,6,32,32,0,0,528,503,11,26-07-2023,4620,4481,8
The Great,Hulu,,6,3,32,9,0,0,216,119,7,,1192,733,1
Twisted,JioCinema,,6,6,31,31,0,0,22,22,0,,137,137,1
