name,streaming,network,mentions,score,consecutive,gain,total mentions,total top,last date,total score,week added
Love,N/A,MBC,107,500,1,107,107,1,,500,1
Dark,Netflix,,39,154,1,39,39,1,,154,1
Severance,Apple TV+,,36,205,1,36,36,1,,205,1
Slow Horses,Apple TV+,,25,266,1,25,25,1,,266,1
Black,N/A,OCN,25,152,1,25,25,1,,152,1
Stone,N/A,ABC,23,69,1,23,23,1,,69,1
1923,Paramount+,,22,80,1,22,22,1,,80,1
Yellowstone,N/A,Paramount Network,22,67,1,22,22,1,,67,1
House,N/A,FOX,21,125,1,21,21,1,,125,1
Evil,Paramount+,,20,80,1,20,20,1,,80,1
1883,Paramount+,,20,75,1,20,20,1,,75,1
Family,N/A,ITV1,19,128,1,19,19,1,,128,1
Star Wars: Andor,Disney+,,19,100,1,19,19,1,,100,1
For All Mankind,Apple TV+,,17,70,1,17,17,1,,70,1
VICE,N/A,Showtime,17,40,1,17,17,1,,40,1
Sisters,N/A,Network 10,16,128,1,16,16,1,,128,1
The White Lotus,N/A,HBO,16,79,1,16,16,1,,79,1
Kaleidoscope,Netflix,,16,72,1,16,16,1,,72,1
Itch,N/A,ABC ME,16,68,1,16,16,1,,68,1
Bad Sisters,Apple TV+,,15,115,1,15,15,1,,115,1
1899,Netflix,,15,84,1,15,15,1,,84,1
Review,N/A,Comedy Central,15,68,1,15,15,1,,68,1
Happy,N/A,NBC,14,99,1,14,14,1,,99,1
Ted Lasso,Apple TV+,,14,98,1,14,14,1,,98,1
This Week,N/A,BBC One,14,81,1,14,14,1,,81,1
The Act,Hulu,,14,80,1,14,14,1,,80,1
Sent,N/A,HBO Asia,14,63,1,14,14,1,,63,1
Anno,N/A,NRK1,14,58,1,14,14,1,,58,1
Treason,Netflix,,14,53,1,14,14,1,,53,1
Fleishman is in Trouble,Hulu,,13,105,1,13,13,1,,105,1
The Bear,Hulu,,13,89,1,13,13,1,,89,1
Mr Inbetween,N/A,FX,13,72,1,13,13,1,,72,1
Strange,N/A,BBC One,13,59,1,13,13,1,,59,1
Honest,N/A,ITV1,13,50,1,13,13,1,,50,1
Murder,N/A,BBC Two,12,91,1,12,12,1,,91,1
Wanted,N/A,SBS,12,58,1,12,12,1,,58,1
Succession,N/A,HBO,12,57,1,12,12,1,,57,1
Move,Netflix,,12,47,1,12,12,1,,47,1
Case,N/A,Stöð 2,12,46,1,12,12,1,,46,1
Sona,YouTube,,12,36,1,12,12,1,,36,1
Alice,N/A,SBS,11,106,1,11,11,1,,106,1
House of the Dragon,N/A,HBO,11,88,1,11,11,1,,88,1
Friends,N/A,ABC,11,75,1,11,11,1,,75,1
Away,Netflix,,11,70,1,11,11,1,,70,1
School,N/A,BBC Two,11,59,1,11,11,1,,59,1
Release,Topic,,11,47,1,11,11,1,,47,1
Pose,N/A,FX,11,20,1,11,11,1,,20,1
Alice in Borderland,Netflix,,10,104,1,10,10,1,,104,1
Power,N/A,STARZ,10,90,1,10,10,1,,90,1
The Sandman,Netflix,,10,78,1,10,10,1,,78,1
Blood,N/A,Virgin Media One,10,72,1,10,10,1,,72,1
Wednesday,Netflix,,10,66,1,10,10,1,,66,1
Barry,N/A,HBO,10,59,1,10,10,1,,59,1
Trying,Apple TV+,,10,39,1,10,10,1,,39,1
Catch,N/A,NPO 3,10,27,1,10,10,1,,27,1
Persona,Netflix,,10,26,1,10,10,1,,26,1
Delete,N/A,REELZ,10,12,1,10,10,1,,12,1
Cane,N/A,CBS,9,73,0,0,9,0,,73,1
Hero,N/A,MBC,9,73,0,0,9,0,,73,1
Arcane,Netflix,,9,73,0,0,9,0,,73,1
Rising,Hill.TV,,9,63,0,0,9,0,,63,1
Three Pines,Prime Video,,9,56,0,0,9,0,,56,1
Loving,N/A,ABC,9,55,0,0,9,0,,55,1
Ella,N/A,VTM,9,53,0,0,9,0,,53,1
Mythic Quest,Apple TV+,,9,52,0,0,9,0,,52,1
Stranger,N/A,tvN,9,46,0,0,9,0,,46,1
The Recruit,Netflix,,9,42,0,0,9,0,,42,1
Stupid,N/A,BBC One,9,31,0,0,9,0,,31,1
The Capture,BBC iPlayer,,9,22,0,0,9,0,,22,1
The Devil,N/A,KBS2,9,20,0,0,9,0,,20,1
Television,N/A,ITV1,9,20,0,0,9,0,,20,1
The Great,Hulu,,9,19,0,0,9,0,,19,1
The Boys,Prime Video,,8,77,0,0,8,0,,77,1
Better Call Saul,N/A,AMC,8,61,0,0,8,0,,61,1
Black Bird,Apple TV+,,8,61,0,0,8,0,,61,1
Norm,N/A,ABC,8,51,0,0,8,0,,51,1
The Plot,Disney+,,8,49,0,0,8,0,,49,1
Yellowjackets,N/A,Showtime,8,45,0,0,8,0,,45,1
Class,BBC Three,,8,41,0,0,8,0,,41,1
Psych,N/A,USA Network,8,39,0,0,8,0,,39,1
Easy,Netflix,,8,39,0,0,8,0,,39,1
Lost,N/A,jTBC,8,33,0,0,8,0,,33,1
Released,N/A,Oprah Winfrey Network,8,33,0,0,8,0,,33,1
Home,Apple TV+,,8,33,0,0,8,0,,33,1
Zero,Netflix,,8,33,0,0,8,0,,33,1
Epic,N/A,Destination America,8,15,0,0,8,0,,15,1
Played,N/A,CTV,7,73,0,0,7,0,,73,1
The English,BBC iPlayer,,7,66,0,0,7,0,,66,1
Anne,N/A,ITV1,7,55,0,0,7,0,,55,1
Treme,N/A,HBO,7,53,0,0,7,0,,53,1
High School,Amazon Freevee,,7,47,0,0,7,0,,47,1
Mental,France tv slash,,7,43,0,0,7,0,,43,1
The One,Netflix,,7,42,0,0,7,0,,42,1
Cult,N/A,The CW,7,41,0,0,7,0,,41,1
Stranger Things,Netflix,,7,41,0,0,7,0,,41,1
Happy Valley,N/A,BBC One,7,40,0,0,7,0,,40,1
The Rehearsal,N/A,HBO,7,40,0,0,7,0,,40,1
Breaking Bad,N/A,AMC,7,33,0,0,7,0,,33,1
Woman,N/A,NTV,7,31,0,0,7,0,,31,1
Sign,N/A,TV Asahi,7,30,0,0,7,0,,30,1
Popular,N/A,The WB,7,30,0,0,7,0,,30,1
Psycho,N/A,ARTE,7,30,0,0,7,0,,30,1
Explained,Netflix,,7,29,0,0,7,0,,29,1
The Bureau,N/A,Investigation Discovery,7,26,0,0,7,0,,26,1
Five,N/A,Fuji TV,7,23,0,0,7,0,,23,1
Anna,N/A,Sky Atlantic,7,22,0,0,7,0,,22,1
Massive,N/A,BBC Three,7,21,0,0,7,0,,21,1
Asur,Voot,,7,19,0,0,7,0,,19,1
Alone,N/A,History,7,18,0,0,7,0,,18,1
The Devil's Hour,Prime Video,,7,16,0,0,7,0,,16,1
Major,N/A,NHK,7,14,0,0,7,0,,14,1
Search,N/A,OCN,7,-4,0,0,7,0,,-4,1
Fleabag,BBC Three,,6,82,0,0,6,0,,82,1
Heroes,N/A,CCTV-8,6,55,0,0,6,0,,55,1
Detective,N/A,Lifetime,6,42,0,0,6,0,,42,1
Chance,Hulu,,6,41,0,0,6,0,,41,1
Believe,N/A,NBC,6,37,0,0,6,0,,37,1
His Dark Materials,BBC iPlayer,,6,35,0,0,6,0,,35,1
Paris,N/A,Channel 4,6,34,0,0,6,0,,34,1
Paper Girls,Prime Video,,6,29,0,0,6,0,,29,1
Random,YouTube,,6,28,0,0,6,0,,28,1
Supernatural,N/A,BBC One,6,27,0,0,6,0,,27,1
Coast,N/A,BBC Two,6,25,0,0,6,0,,25,1
Amazon,N/A,Syndication,6,25,0,0,6,0,,25,1
The Rig,Prime Video,,6,25,0,0,6,0,,25,1
Thriller,N/A,ITV1,6,23,0,0,6,0,,23,1
Foundation,Apple TV+,,6,23,0,0,6,0,,23,1
Heist,Netflix,,6,22,0,0,6,0,,22,1
Romance,N/A,France 2,6,21,0,0,6,0,,21,1
Cross,Prime Video,,6,20,0,0,6,0,,20,1
Space,N/A,CBS,6,17,0,0,6,0,,17,1
The Expanse,Prime Video,,6,16,0,0,6,0,,16,1
The Head,HBO Max,,6,15,0,0,6,0,,15,1
Dude,Prime Video,,6,15,0,0,6,0,,15,1
