name,streaming,network,mentions,score,week added,largest week,largest week amt
Love,N/A,MBC,4870,28299,1,3,150
Dark,Netflix,,1411,8668,1,45,54
Black,N/A,OCN,1207,7386,1,30,74
Severance,Apple TV+,,1139,12178,6,15,101
House,N/A,FOX,1013,7074,1,33,68
Strange,N/A,BBC One,885,6044,1,19,115
Trying,Apple TV+,,872,4497,1,28,28
The Act,Hulu,,868,5721,1,15,29
Honest,N/A,ITV1,776,4274,1,20,29
Family,N/A,ITV1,738,3902,1,39,29
Lost,N/A,jTBC,733,3713,1,16,34
Sona,YouTube,,722,3688,1,22,24
Delete,N/A,REELZ,717,2824,1,31,33
Itch,N/A,ABC ME,692,3771,1,1,38
Murder,N/A,BBC Two,690,4534,1,25,30
House of the Dragon,N/A,HBO,679,5313,1,33,80
Barry,N/A,HBO,677,4696,1,21,89
The Boys,Prime Video,,669,5206,1,20,70
Better Call Saul,N/A,AMC,661,5928,1,26,47
Stone,N/A,ABC,658,3773,1,3,53
Power,N/A,STARZ,656,5309,1,33,81
Television,N/A,ITV1,651,6031,1,32,25
Anne,N/A,ITV1,644,3913,1,16,34
Persona,Netflix,,623,3087,1,22,23
Stranger,N/A,tvN,616,4265,1,19,109
VICE,N/A,Showtime,613,3123,1,15,53
Loving,N/A,ABC,611,4740,1,33,24
Anno,N/A,NRK1,595,3311,1,32,21
Move,Netflix,,581,1803,1,5,30
Star Wars: Andor,Disney+,,579,5070,1,44,63
Evil,Paramount+,,568,3215,1,42,35
Away,Netflix,,553,3382,1,22,21
Amazon,N/A,Syndication,541,2780,1,42,24
This Week,N/A,BBC One,537,4637,1,2,19
Stranger Things,Netflix,,534,3823,1,19,106
Case,N/A,Stöð 2,532,2634,1,16,27
Succession,N/A,HBO,511,3718,1,3,38
Review,N/A,Comedy Central,507,2340,1,24,20
Happy,N/A,NBC,505,2880,1,14,20
Pose,N/A,FX,504,2103,1,5,20
Thriller,N/A,ITV1,498,3012,1,7,19
Release,Topic,,482,2498,1,19,18
Breaking Bad,N/A,AMC,478,2451,1,26,24
Believe,N/A,NBC,477,2798,1,14,15
Home,Apple TV+,,470,2105,1,24,24
The Plot,Disney+,,462,2526,1,6,17
The Lord of the Rings: The Rings of Power,Prime Video,,458,4167,1,33,104
For All Mankind,Apple TV+,,457,3494,1,24,31
The Bear,Hulu,,456,5251,2,23,70
The Wire,N/A,HBO,452,2516,1,22,23
Sent,N/A,HBO Asia,446,2365,1,2,17
Detective,N/A,Lifetime,446,2328,1,7,21
Rain,MX Player,,433,2187,1,12,20
Atlanta,N/A,FX,429,3465,4,14,25
Catch,N/A,NPO 3,428,2821,1,19,17
Wanted,N/A,SBS,427,2080,1,28,16
Hero,N/A,MBC,416,2529,1,5,18
rage,N/A,ABC,405,1994,1,21,19
The Americans,N/A,NBC,404,2549,1,27,26
Peacemaker,HBO Max,,399,3581,1,3,52
The Leftovers,N/A,HBO,389,2504,1,2,17
Huge,N/A,FreeForm,385,2284,1,18,14
The White Lotus,N/A,HBO,374,3080,1,47,41
Yellowjackets,N/A,Showtime,372,3104,1,3,57
Cult,N/A,The CW,372,2131,1,20,16
Sign,N/A,TV Asahi,370,2220,1,6,18
