name,streaming,network,mentions,regex-mentions,score,regex-score,consecutive,gain,total mentions,total-regex-mentions,total top,last date,total score,total-regex-score,week added,largest week,largest week amt,total weeks,week streak
Squid Game,Netflix,,42,32,307,228,0,0,93,68,1,,561,407,0,0,42,0,0
FROM,N/A,MGM+,42,42,246,246,0,0,2643,2625,52,,15115,15033,0,0,79,0,0
Will,N/A,TNT,25,22,227,212,0,0,1685,1606,52,,8526,8096,0,0,60,0,0
Better,BBC iPlayer,,24,21,195,172,0,0,1750,1713,52,,9299,9183,0,0,60,0,0
Silo,meWATCH,,18,17,142,124,0,0,359,342,12,,2400,2283,0,0,31,0,0
The Agency,Paramount+,,17,17,86,86,0,0,108,104,5,,664,647,0,0,31,0,0
Dexter,N/A,Paramount+ with Showtime,16,16,63,63,0,0,119,114,3,,607,587,0,0,16,0,0
Shrink,N/A,NHK,14,0,108,0,0,0,195,7,7,,1300,27,0,0,16,0,0
Shrinking,Apple TV+,,14,13,108,90,0,0,188,172,7,,1223,1134,0,0,16,0,0
Ante,N/A,NRK1,12,1,39,9,0,0,391,23,13,,2096,146,0,0,18,0,0
Black,N/A,OCN,11,11,53,53,0,0,550,476,19,,3460,3104,0,0,41,0,0
Star Wars: Skeleton Crew,Disney+,,10,1,124,9,0,0,58,14,4,,564,171,0,0,15,0,0
Persona,Netflix,,9,0,71,0,0,0,337,4,9,,1701,6,0,0,16,0,0
Sona,YouTube,,9,0,71,0,0,0,404,4,15,,1996,6,0,0,19,0,0
Finally,N/A,MBC,9,9,69,69,0,0,444,443,18,,4060,4051,0,0,17,0,0
The Bureau,N/A,Investigation Discovery,9,8,65,47,0,0,106,98,1,,525,467,0,0,15,0,0
Dune: Prophecy,N/A,HBO,9,1,61,13,0,0,131,33,6,,840,276,0,0,20,0,0
Strong,N/A,NBC,9,8,49,42,0,0,371,266,11,,2150,1601,0,0,14,0,0
Aile,N/A,Show TV,9,0,47,0,0,0,297,0,5,,1429,0,0,0,14,0,0
Release,Topic,,9,4,43,29,0,0,351,125,9,,2127,728,0,0,13,0,0
The Act,Hulu,,9,0,39,0,0,0,551,2,29,,3511,10,0,0,21,0,0
Family,N/A,ITV1,9,9,12,12,0,0,365,350,11,,2186,2133,0,0,17,0,0
Kept,N/A,VH1,8,6,91,63,0,0,205,177,0,,1240,1038,0,0,9,0,0
Away,Netflix,,8,7,82,72,0,0,366,356,12,,2105,2067,0,0,20,0,0
Kingdom,N/A,Mnet,8,7,45,37,0,0,95,86,0,,530,503,0,0,8,0,0
Wanted,N/A,SBS,8,8,24,24,0,0,312,311,5,,1578,1573,0,0,17,0,0
Change,N/A,Fuji TV,8,3,17,6,0,0,367,169,8,,1697,788,0,0,17,0,0
Murder,N/A,BBC Two,7,2,59,6,0,0,486,244,24,,3003,1409,0,0,26,0,0
Ride,N/A,Hallmark Channel,7,6,52,49,0,0,252,218,0,,1820,1565,0,0,9,0,0
Hero,N/A,MBC,7,4,48,33,0,0,223,132,1,,1139,757,0,0,10,0,0
Eric,Netflix,,7,0,45,0,0,0,616,122,32,,3397,591,0,0,43,0,0
Severance,Apple TV+,,7,7,42,42,0,0,339,316,14,,2360,2259,0,0,16,0,0
Animal Kingdom,N/A,ITV1,7,6,40,32,0,0,16,15,0,,87,79,0,0,7,0,0
Animal,Netflix,,7,7,40,40,0,0,57,41,0,,338,219,0,0,7,0,0
Pose,N/A,FX,7,2,15,3,0,0,312,101,8,,1374,395,0,0,15,0,0
The Wire,N/A,HBO,6,5,98,80,0,0,249,232,4,,1610,1444,0,0,15,0,0
The Day of the Jackal,Now,,6,5,88,70,0,0,148,138,7,,1495,1406,0,0,27,0,0
The English,BBC iPlayer,,6,6,58,58,0,0,255,246,5,,1518,1487,0,0,18,0,0
Sisters,N/A,Network 10,6,6,57,57,0,0,121,106,0,,776,700,0,0,9,0,0
Bad Sisters,Apple TV+,,6,6,57,57,0,0,99,89,0,,653,593,0,0,8,0,0
SisterS,Crave,,6,6,57,57,0,0,121,106,0,,776,700,0,0,9,0,0
Today,N/A,NBC,6,6,54,54,0,0,229,220,0,,1441,1419,0,0,9,0,0
College,N/A,Italia 1,6,6,45,45,0,0,41,41,0,,215,215,0,0,6,0,0
Dark Matter,Apple TV+,,6,6,42,42,0,0,286,272,10,,1836,1763,0,0,38,0,0
Follow,N/A,13ème RUE,6,2,42,14,0,0,382,152,11,,2007,634,0,0,15,0,0
Human,Disney+ Hotstar,,6,5,41,26,0,0,194,121,1,,1116,711,0,0,17,0,0
Erica,N/A,TF1,6,0,41,0,0,0,483,50,23,,2775,279,0,0,19,0,0
Amazon,N/A,Syndication,6,6,39,39,0,0,296,286,6,,1762,1692,0,0,12,0,0
Anne,N/A,ITV1,6,1,37,24,0,0,228,31,1,,1127,200,0,0,13,0,0
Slow Horses,Apple TV+,,6,4,34,14,0,0,463,427,14,,3913,3678,0,0,28,0,0
The Way,BBC iPlayer,,6,6,30,30,0,0,356,347,11,,1989,1884,0,0,15,0,0
The Plot,Disney+,,6,4,29,24,0,0,303,282,4,,1668,1561,0,0,13,0,0
Trying,Apple TV+,,6,6,25,25,0,0,526,516,26,,2621,2569,0,0,27,0,0
Released,N/A,Oprah Winfrey Network,6,6,24,24,0,0,190,186,0,,1166,1121,0,0,8,0,0
The Writer,N/A,MBC Drama,6,3,23,10,0,0,143,34,0,,725,166,0,0,7,0,0
Believe,N/A,NBC,5,4,91,67,0,0,288,261,4,,1820,1670,0,0,17,0,0
Money,N/A,BBC Two,5,5,87,87,0,0,134,131,0,,624,614,0,0,8,0,0
True Detective,N/A,HBO,5,5,73,73,0,0,280,277,7,,2053,2041,0,0,37,0,0
Detective,N/A,Lifetime,5,5,73,73,0,0,511,456,18,,3304,3002,0,0,45,0,0
Lost,N/A,jTBC,5,5,65,65,0,0,432,417,16,,2325,2284,0,0,22,0,0
Arrow,N/A,The CW,5,3,54,28,0,0,44,19,0,,231,98,0,0,5,0,0
Original Sin,iQIYI,,5,5,43,43,0,0,22,21,0,,167,162,0,0,6,0,0
The Sex Lives of College Girls,Max,,5,5,43,43,0,0,11,11,0,,70,70,0,0,5,0,0
Landman,Paramount+,,5,5,42,42,0,0,56,53,2,,309,317,0,0,11,0,0
Say Nothing,Hulu,,5,5,36,36,0,0,77,75,5,,692,685,0,0,17,0,0
Too Much,Netflix,,5,5,34,34,0,0,263,258,4,,1278,1254,0,0,14,0,0
Phenom,N/A,ABC,5,0,29,0,0,0,140,0,0,,1319,0,0,0,9,0,0
Black Doves,Netflix,,5,5,27,27,0,0,67,64,2,,412,402,0,0,30,0,0
Thriller,N/A,ITV1,5,5,26,26,0,0,260,215,6,,1625,1331,0,0,12,0,0
Catch,N/A,NPO 3,5,3,26,22,0,0,280,176,4,,1779,1082,0,0,15,0,0
Room,N/A,BS-TBS,5,5,24,24,0,0,166,136,1,,850,762,0,0,10,0,0
This Week,N/A,BBC One,5,2,21,6,0,0,351,262,6,,2615,1945,0,0,13,0,0
Delete,Netflix,,5,0,20,0,0,0,527,8,30,,2339,57,0,0,22,0,0
The Deleted,fullscreen,,5,5,20,20,0,0,519,519,28,,2282,2282,0,0,21,0,0
Empire,N/A,CBS,5,4,19,17,0,0,72,65,0,,355,332,0,0,6,0,0
Angel,BET+,,5,5,17,17,0,0,82,28,0,,443,127,0,0,6,0,0
Press,N/A,BBC One,5,0,16,0,0,0,359,31,10,,2104,190,0,0,15,0,0
Home,Apple TV+,,5,4,14,13,0,0,302,137,4,,1441,680,0,0,26,0,0
The Holiday,N/A,Channel 5,4,1,57,2,0,0,18,9,0,,136,52,0,0,4,0,0
Treme,N/A,HBO,4,1,51,2,0,0,189,37,0,,1054,170,0,0,9,0,0
Beyond,N/A,Freeform,4,4,49,49,0,0,111,111,0,,508,508,0,0,7,0,0
Rising,Hill.TV,,4,1,45,1,0,0,148,49,0,,1143,345,0,0,7,0,0
The Murders,N/A,Citytv,4,3,43,35,0,0,213,209,9,,1533,1501,0,0,21,0,0
Sort Of,CBC Gem,,4,4,36,36,0,0,211,209,0,,1118,1113,0,0,9,0,0
Loving,N/A,ABC,4,4,27,27,0,0,381,380,7,,3000,2996,0,0,14,0,0
Community,Yahoo! View,,4,4,26,26,0,0,126,120,0,,641,629,0,0,8,0,0
Bookie,Max,,4,4,26,26,0,0,13,13,0,,81,81,0,0,4,0,0
Rush,N/A,Network 10,4,1,25,3,0,0,140,33,0,,848,131,0,0,9,0,0
Norm,N/A,ABC,4,0,25,0,0,0,190,12,2,,1064,87,0,0,11,0,0
Psych,N/A,USA Network,4,1,24,4,0,0,178,59,0,,1167,357,0,0,9,0,0
Friends,N/A,ABC,4,3,23,7,0,0,153,125,0,,951,778,0,0,7,0,0
Genius,N/A,National Geographic,4,4,23,23,0,0,57,52,0,,303,289,0,0,5,0,0
Agent,TV2 Play,,4,3,23,10,0,0,98,58,0,,448,261,0,0,7,0,0
Sent,N/A,HBO,4,0,22,0,0,0,300,104,9,,1309,512,0,0,20,0,0
Light Shop,Disney+,,4,4,22,22,0,0,16,16,0,,95,95,0,0,6,0,0
Monk,N/A,USA Network,4,0,19,0,0,0,280,42,10,,1930,190,0,0,28,0,0
The Answers,N/A,FX,4,4,19,19,0,0,63,62,0,,362,360,0,0,7,0,0
Mike,N/A,OCS Max,4,4,18,18,0,0,56,52,0,,310,305,0,0,4,0,0
Extra,N/A,Syndication,4,1,17,1,0,0,147,59,1,,889,289,0,0,11,0,0
Push,N/A,ABC,4,0,16,0,0,0,124,44,0,,501,185,0,0,7,0,0
PUSH,N/A,ZDFneo,4,0,16,0,0,0,124,44,0,,501,185,0,0,7,0,0
The Sopranos,N/A,HBO,4,4,14,14,0,0,224,213,3,,1613,1526,0,0,15,0,0
Dragon,N/A,Treehouse,4,3,14,11,0,0,325,272,10,,1868,1590,0,0,29,0,0
House,N/A,FOX,4,4,11,11,0,0,578,524,25,,3171,2933,0,0,33,0,0
Blood,N/A,Virgin Media One,4,3,11,10,0,0,179,103,0,,965,528,0,0,9,0,0
Review,N/A,Comedy Central,4,2,10,6,0,0,330,95,9,,1524,389,0,0,18,0,0
Easy,Netflix,,4,4,10,10,0,0,230,229,0,,1282,1274,0,0,9,0,0
Regret,Shahid,,4,2,10,4,0,0,54,44,0,,329,273,0,0,4,0,0
Gran,N/A,BBC One,4,0,8,0,0,0,121,2,0,,659,19,0,0,6,0,0
Dude,Prime Video,,4,4,7,7,0,0,106,99,0,,461,413,0,0,7,0,0
Ramo,N/A,Show TV,4,0,5,0,0,0,135,0,1,,682,0,0,0,11,0,0
Played,N/A,CTV,3,3,79,79,0,0,240,240,4,,1641,1641,0,0,37,0,0
Fallout,Prime Video,,3,2,53,35,0,0,429,404,8,,3348,3160,0,0,126,0,0
Camp,N/A,NBC,3,1,49,37,0,0,142,41,0,,868,311,0,0,8,0,0
The Knick,N/A,Cinemax,3,3,41,41,0,0,30,26,0,,184,182,0,0,4,0,0
Major,N/A,NHK,3,2,40,38,0,0,147,113,0,,724,557,0,0,8,0,0
Cane,N/A,CBS,3,3,38,38,0,0,219,196,6,,1745,1644,0,0,38,0,0
Arcane: League of Legends,Netflix,,3,0,38,0,0,0,202,0,6,,1680,0,0,0,38,0,0
Popular,N/A,The WB,3,3,37,37,0,0,131,117,0,,540,479,0,0,7,0,0
The Building,N/A,CBS,3,2,35,17,0,0,296,280,8,,1996,1930,0,0,21,0,0
The Leftovers,N/A,HBO,3,2,34,16,0,0,116,105,0,,796,722,0,0,8,0,0
Sara,N/A,RTP2,3,0,34,0,0,0,28,3,0,,157,20,0,0,3,0,0
Somebody,Netflix,,3,3,32,32,0,0,62,62,0,,346,346,0,0,6,0,0
Move,Netflix,,3,1,32,13,0,0,368,99,13,,1416,578,0,0,21,0,0
Creature Commandos,Max,,3,3,32,32,0,0,26,26,0,,220,220,0,0,8,0,0
Alone,N/A,Channel 4,3,3,31,31,0,0,154,148,0,,823,804,0,0,9,0,0
Stupid,N/A,BBC One,3,1,31,16,0,0,167,147,2,,791,720,0,0,10,0,0
Cross,Prime Video,,3,2,27,26,0,0,242,180,6,,1403,989,0,0,16,0,0
For All Mankind,Apple TV+,,3,1,27,5,0,0,149,144,3,,1011,973,0,0,24,0,0
Bert,N/A,SVT1,3,2,26,16,0,0,61,43,0,,331,237,0,0,5,0,0
Lore,Prime Video,,3,3,25,25,0,0,163,118,0,,920,660,0,0,8,0,0
Blue,Hulu,,3,3,24,24,0,0,269,242,6,,1783,1650,0,0,14,0,0
Guilt,BBC iPlayer,,3,0,24,0,0,0,62,6,0,,422,21,0,0,5,0,0
Barry,N/A,HBO,3,2,24,6,0,0,85,77,0,,465,407,0,0,7,0,0
The One,Netflix,,3,3,20,20,0,0,242,152,6,,1043,622,0,0,16,0,0
Psycho,N/A,ARTE,3,1,20,0,0,0,97,21,0,,684,136,0,0,6,0,0
Legit,N/A,BBC One,3,2,18,19,0,0,62,31,0,,358,189,0,0,5,0,0
Riot,N/A,FOX,3,3,18,18,0,0,135,114,1,,963,806,0,0,12,0,0
All In,N/A,SBS,3,2,18,16,0,0,140,105,0,,942,704,0,0,7,0,0
Unexpected,N/A,TLC,3,2,18,3,0,0,46,39,0,,397,342,0,0,3,0,0
Return,N/A,SBS,3,2,18,18,0,0,141,78,0,,708,430,0,0,9,0,0
The Unexpected,N/A,Syndication,3,2,18,3,0,0,46,39,0,,397,342,0,0,3,0,0
Gomorra,N/A,Sky Atlantic,3,0,17,0,0,0,45,0,0,,241,0,0,0,7,0,0
Power,N/A,STARZ,3,3,16,16,0,0,403,288,11,,2624,1988,0,0,32,0,0
Julie,N/A,ABC,3,0,16,0,0,0,24,5,0,,88,19,0,0,3,0,0
Moving,N/A,ITV1,3,3,16,16,0,0,140,138,0,,1068,1053,0,0,9,0,0
Juliet,N/A,VRT 1,3,0,16,0,0,0,19,8,0,,69,37,0,0,3,0,0
Game of Thrones,N/A,HBO,3,3,15,15,0,0,171,160,1,,1163,1125,0,0,13,0,0
