name,streaming,network,mentions,score,consecutive,gain,total mentions,total top,last date,total score,week added
Love,N/A,MBC,117,554,0,0,0,0,,0,1
Station Eleven,HBO Max,,41,478,0,0,0,0,,0,1
Stone,N/A,ABC,36,224,0,0,0,0,,0,1
Itch,N/A,ABC ME,36,192,0,0,0,0,,0,1
Yellowjackets,N/A,Showtime,31,398,0,0,0,0,,0,1
Dexter,N/A,Showtime,28,146,0,0,0,0,,0,1
Succession,N/A,HBO,26,180,0,0,0,0,,0,1
Yellowstone,N/A,Paramount Network,26,127,0,0,0,0,,0,1
1883,Paramount+,,25,167,0,0,0,0,,0,1
Kings,N/A,NBC,24,136,0,0,0,0,,0,1
Trying,Apple TV+,,24,125,0,0,0,0,,0,1
Search,N/A,OCN,20,197,0,0,0,0,,0,1
Dark,Netflix,,20,69,0,0,0,0,,0,1
This Week,N/A,BBC One,19,183,0,0,0,0,,0,1
Mayo,N/A,BBC One,19,125,0,0,0,0,,0,1
Cobra,N/A,Syndication,19,116,0,0,0,0,,0,1
COBRA,Sky Go,,19,116,0,0,0,0,,0,1
Friends,N/A,ABC,19,112,0,0,0,0,,0,1
The Act,Hulu,,18,170,0,0,0,0,,0,1
Cobra Kai,Netflix,,18,115,0,0,0,0,,0,1
Family,N/A,ITV1,18,93,0,0,0,0,,0,1
The Leftovers,N/A,HBO,17,137,0,0,0,0,,0,1
The Witcher,Netflix,,17,111,0,0,0,0,,0,1
Sent,N/A,HBO Asia,17,66,0,0,0,0,,0,1
Voice,N/A,OCN,17,11,0,0,0,0,,0,1
Lost,N/A,jTBC,16,167,0,0,0,0,,0,1
Search Party,HBO Max,,16,135,0,0,0,0,,0,1
Mayor of Kingstown,Paramount+,,16,108,0,0,0,0,,0,1
Delete,N/A,REELZ,16,95,0,0,0,0,,0,1
Blood,N/A,Virgin Media One,16,80,0,0,0,0,,0,1
Amazon,N/A,Syndication,15,69,0,0,0,0,,0,1
The Expanse,Prime Video,,14,119,0,0,0,0,,0,1
Peacemaker,HBO Max,,14,96,0,0,0,0,,0,1
Believe,N/A,NBC,14,95,0,0,0,0,,0,1
The Plot,Disney+,,14,73,0,0,0,0,,0,1
Pose,N/A,FX,14,63,0,0,0,0,,0,1
The Mandalorian,Disney+,,14,58,0,0,0,0,,0,1
Honest,N/A,ITV1,14,49,0,0,0,0,,0,1
Cane,N/A,CBS,14,41,0,0,0,0,,0,1
Arcane,Netflix,,14,41,0,0,0,0,,0,1
Paris,N/A,Channel 4,13,83,0,0,0,0,,0,1
Loving,N/A,ABC,13,53,0,0,0,0,,0,1
Sign,N/A,TV Asahi,13,51,0,0,0,0,,0,1
Case,N/A,Stöð 2,13,50,0,0,0,0,,0,1
Alone,N/A,History,13,49,0,0,0,0,,0,1
Sona,YouTube,,13,39,0,0,0,0,,0,1
Thriller,N/A,ITV1,12,155,0,0,0,0,,0,1
House,N/A,FOX,12,105,0,0,0,0,,0,1
Euphoria,N/A,HOT3,12,95,0,0,0,0,,0,1
The Tourist,BBC iPlayer,,12,92,0,0,0,0,,0,1
Gomorra,N/A,Sky Atlantic,12,88,0,0,0,0,,0,1
Anne,N/A,ITV1,12,77,0,0,0,0,,0,1
New Blood,N/A,BBC One,12,59,0,0,0,0,,0,1
Black,N/A,OCN,12,58,0,0,0,0,,0,1
Persona,Netflix,,12,34,0,0,0,0,,0,1
Ted Lasso,Apple TV+,,12,34,0,0,0,0,,0,1
