name,streaming,network,mentions,score,consecutive,gain,total top,last date
Love,N/A,MBC,89,860,5,13,5,
Dark,Netflix,,35,168,5,-7,5,
The White Lotus,N/A,HBO,29,333,5,-12,5,
The Act,Hulu,,21,112,5,11,5,
Star Wars: Andor,Disney+,,20,159,1,12,1,09-12-2022
1899,Netflix,,17,73,5,-9,5,
The Bear,Hulu,,16,206,1,10,1,09-12-2022
Black,N/A,OCN,16,99,5,1,5,
Sona,YouTube,,15,129,4,3,4,
Honest,N/A,ITV1,15,88,5,3,5,
The Recruit,Netflix,,13,113,1,13,1,
Away,Netflix,,13,91,1,7,1,
Review,N/A,Comedy Central,13,44,1,10,1,
Succession,N/A,HBO,13,39,1,9,1,
Anne,N/A,ITV1,12,205,1,3,1,
Persona,Netflix,,12,116,1,3,1,
Wednesday,Netflix,,12,52,5,-17,5,
The Rig,Prime Video,,11,116,2,0,2,
Willow,Disney+,,11,104,2,0,2,
Believe,N/A,NBC,11,52,1,2,1,
rage,N/A,ABC,11,52,1,5,1,
Amazon,N/A,Syndication,11,31,1,2,1,09-12-2022
House,N/A,FOX,11,30,4,1,4,
Detective,N/A,Lifetime,10,232,1,6,1,
Severance,Apple TV+,,10,106,5,-2,5,
Family,N/A,ITV1,10,68,5,-3,5,
The Leftovers,N/A,HBO,10,51,4,-1,4,
Rising,Hill.TV,,10,48,1,2,1,
Trying,Apple TV+,,10,47,5,-5,5,
Thriller,N/A,ITV1,9,114,0,0,0,
Ted Lasso,Apple TV+,,9,112,0,0,0,
Psych,N/A,USA Network,9,95,0,0,0,
Treme,N/A,HBO,9,79,0,0,0,
Stone,N/A,ABC,9,73,0,0,0,
Case,N/A,Stöð 2,9,73,0,0,0,
Asur,Voot,,9,55,0,0,0,
Hero,N/A,MBC,9,46,0,0,0,
Cult,N/A,The CW,9,44,0,0,0,
The Wire,N/A,HBO,9,39,0,0,0,
Slow Horses,Apple TV+,,9,33,0,0,0,17-12-2022
Blood,N/A,Virgin Media One,9,23,0,0,0,
Anno,N/A,NRK1,9,22,0,0,0,17-12-2022
Itch,N/A,ABC ME,8,123,0,0,0,
Alone,N/A,History,8,111,0,0,0,
Let the Right One In,Showtime on Demand,Showtime,8,106,0,0,0,
Yellowstone,N/A,Paramount Network,8,65,0,0,0,
1923,Paramount+,,8,41,0,0,0,
Sign,N/A,TV Asahi,8,39,0,0,0,
His Dark Materials,BBC iPlayer,,8,39,0,0,0,
Easy,Netflix,,8,35,0,0,0,
Mad Men,N/A,AMC,8,29,0,0,0,
1883,Paramount+,,8,27,0,0,0,
The Plot,Disney+,,8,25,0,0,0,
Liar,N/A,ITV1,7,122,0,0,0,
Chernobyl,N/A,HBO,7,114,0,0,0,
Space,N/A,CBS,7,91,0,0,0,
Happy,N/A,NBC,7,82,0,0,0,17-12-2022
This Week,N/A,BBC One,7,56,0,0,0,
Tulsa King,Paramount+,,7,44,0,0,0,
VICE,N/A,Showtime,7,42,0,0,0,
Lost,N/A,jTBC,7,40,0,0,0,17-12-2022
Today,N/A,NBC,7,38,0,0,0,
Release,Topic,,7,30,0,0,0,
The Rook,N/A,STARZ,7,27,0,0,0,
The Rookie,N/A,ABC,7,27,0,0,0,
Home,Apple TV+,,7,26,0,0,0,17-12-2022
Murder,N/A,BBC Two,7,15,0,0,0,17-12-2022
Strange,N/A,BBC One,7,10,0,0,0,
True Detective,N/A,HBO,6,219,0,0,0,
Working,N/A,NBC,6,115,0,0,0,
Limit,N/A,TV Tokyo,6,76,0,0,0,
The Middle,N/A,ABC,6,63,0,0,0,
Random,YouTube,,6,60,0,0,0,
Loving,N/A,ABC,6,54,0,0,0,
Medic,N/A,NBC,6,45,0,0,0,
Welcome,N/A,KBS2,6,41,0,0,0,
The Peripheral,Prime Video,,6,36,0,0,0,
Connect,Disney+,,6,34,0,0,0,
Game of Thrones,N/A,HBO,6,31,0,0,0,
Brot,N/A,Ríkisútvarpið,6,31,0,0,0,
Released,N/A,Oprah Winfrey Network,6,28,0,0,0,
Catch,N/A,NPO 3,6,22,0,0,0,
Move,Netflix,,6,19,0,0,0,
With You,iQIYI,,6,17,0,0,0,
Six Feet Under,N/A,HBO,6,11,0,0,0,
Echo,Disney+,,6,8,0,0,0,
The Sopranos,N/A,HBO,6,-1,0,0,0,
Dexter,N/A,Showtime,5,115,0,0,0,
Mythic Quest,Apple TV+,,5,72,0,0,0,
Warrior,HBO Max,,5,63,0,0,0,
Black Bird,Apple TV+,,5,48,0,0,0,
Fleishman is in Trouble,Hulu,,5,38,0,0,0,
Guilt,BBC iPlayer,,5,34,0,0,0,
Parents,N/A,Sky Showcase,5,34,0,0,0,
Sent,N/A,HBO Asia,5,34,0,0,0,
Trop,ICI Tou.tv,,5,31,0,0,0,
Agent,Netflix,,5,31,0,0,0,
Stupid,N/A,BBC One,5,28,0,0,0,
Mr. Robot,N/A,USA Network,5,24,0,0,0,
Safe,Netflix,,5,24,0,0,0,
Thea,N/A,ABC,5,24,0,0,0,
Television,N/A,ITV1,5,21,0,0,0,
Suits,N/A,Fuji TV,5,19,0,0,0,
Monk,N/A,USA Network,5,19,0,0,0,
Mani,Brat,,5,19,0,0,0,
Fargo,N/A,FX,5,17,0,0,0,
Rita,N/A,TV2,5,17,0,0,0,
Sisters,N/A,Network 10,5,17,0,0,0,
Rain,MX Player,,5,17,0,0,0,
Bad Sisters,Apple TV+,,5,17,0,0,0,
The Americans,N/A,NBC,5,16,0,0,0,
Peacock,BBC iPlayer,,5,15,0,0,0,
Reacher,Prime Video,,5,13,0,0,0,
Foundation,Apple TV+,,5,11,0,0,0,
Westworld,N/A,HBO,5,9,0,0,0,
Beat,Prime Video,,5,7,0,0,0,
Breaking Bad,N/A,AMC,5,3,0,0,0,
Wanted,N/A,SBS,5,0,0,0,0,
