,network,streaming,imdb,mentions,score
H,Canal+,N/A,tt0173554,861,3611
R,,Claro Video,tt10794914,857,3705
W,MBC,N/A,tt5797194,738,3296
F,Fuji TV,N/A,tt0816222,702,3189
ER,NBC,N/A,tt0108757,630,3011
V,NBC,N/A,tt0086822,586,2824
ST,NTV,N/A,tt3725950,564,2613
K,Tokyo MX,N/A,tt2377452,564,2591
Ed,NBC,N/A,tt0247091,491,2473
Us,,BBC iPlayer,tt10669608,329,1782
HOW,CITV,N/A,tt13743034,310,1711
GO,NBC,N/A,tt0198132,300,1651
Mo,,Netflix,tt15875168,266,1219
Son,ATV,N/A,tt2189801,254,1170
Ally,FOX,N/A,tt0210403,215,1189
You,,Netflix,tt7335184,205,801
Ike,ABC,N/A,tt0078628,196,921
X,WOWOW,N/A,tt0312258,191,935
Eve,UPN,N/A,tt0367379,187,1150
Really,,Prime Video,tt3683278,154,942
Kin,RTÉ ONE,AMC+,tt13444408,149,746
Ted,,Peacock,tt14824792,127,647
Des,ITV,N/A,tt11656892,126,623
See,,Apple TV+,tt7949218,124,702
Men,ABC,N/A,tt0096652,123,552
Jo,TF1,N/A,tt2476706,115,799
Ink,CBS,N/A,tt0115216,111,493
Time,,BBC iPlayer,tt13138834,109,714
King,Nicktoons,N/A,tt0405560,105,581
Con,Comedy Central,N/A,tt0443361,99,548
Rec,TBS,N/A,tt0807834,99,411
Love,MBC,N/A,tt0313097,93,508
Episodes,Showtime,N/A,tt1582350,92,430
She,Fuji TV,N/A,tt4580904,89,570
3,CBS,N/A,tt2197994,88,494
RED,,Vimeo,tt5000936,85,596
The Show,,Blackpills,tt7696850,76,488
Star,FOX,N/A,tt4941240,75,462
Sin,,ZEE5,tt12259074,73,338
Bette,CBS,N/A,tt0247079,70,410
From,,EPIX.com,tt9813792,64,266
The First,,Hulu,tt7412482,63,308
Med,VRAK,N/A,tt7090410,62,376
Don't,ABC,N/A,tt10150154,60,284
House,FOX,N/A,tt0412142,51,459
Last,jTBC,N/A,tt5057310,51,265
Ice,Channel 4,N/A,tt1510984,50,320
Sam,TF1,N/A,tt5085178,49,315
Nu,OCS Max,N/A,tt7420880,47,332
Drama,RTVE,N/A,tt11341924,47,268
Them,,Prime Video,tt9064858,47,204
Look,Showtime,N/A,tt1586619,46,259
Two,CTV,N/A,tt0115404,44,296
HIT,RTVE,N/A,tt11519748,41,253
High,,iWantTFC,tt10804884,39,266
Arte,Tokyo MX,N/A,tt11754514,37,220
Power,STARZ,N/A,tt3281796,36,496
House of the Dragon,HBO,N/A,tt11198330,36,414
Ark,,Hulu,tt1345784,36,155
The Lord of the Rings: The Rings of Power,,Prime Video,tt7631058,35,490
Big,KBS2,N/A,tt2441802,35,206
Rel,FOX,N/A,tt7677740,35,188
Hile,,YouTube,tt6456546,34,236
neXt,FOX,N/A,tt9315054,34,180
Next,MTV,N/A,tt0449460,34,180
BRI,Canal+,N/A,tt1750610,34,177
Back,,All 4,tt5676590,34,149
The End,ON,N/A,tt12204810,33,156
MAD,Cartoon Network,N/A,tt1718438,32,194
Vera,,BritBox,tt1693592,32,140
Hank,NBC,N/A,tt0058811,32,57
Run,Channel 4,N/A,tt2297604,31,191
RUN,HBO,N/A,tt8045468,31,191
Roba,MTV3,M2,tt2428924,28,175
Before,,Apple TV+,tt13332622,28,110
Absolutely,Channel 4,N/A,tt0122332,27,179
Air,TBS,N/A,tt0940874,27,143
Cobra,Syndication,N/A,tt0105973,26,230
COBRA,,Sky Go,tt10062652,26,230
Times,OCN,N/A,tt13800344,26,183
Made,MTV,N/A,tt0409579,26,156
The Story,FOX News Channel,N/A,tt6408292,26,129
Cobra Kai,,Netflix,tt7221388,25,226
Looking,HBO,N/A,tt2581458,25,132
Thanks,CBS,N/A,tt0208510,25,39
Dark,,Netflix,tt5753856,24,125
Mai,,Netflix,tt14160684,24,123
Haven,Syfy,N/A,tt1519931,23,121
Fam,CBS,N/A,tt7712594,23,116
Succession,HBO,N/A,tt7660850,22,109
ALF,NBC,N/A,tt0090390,22,96
Hard,HBO Latin America,N/A,tt12144960,22,91
10,RTS Un,N/A,tt2279918,22,87
Sisters,Network 10,N/A,tt6258050,21,259
The Act,,Hulu,tt8682948,21,144
The Capture,,BBC iPlayer,tt8201186,21,135
Another,Tokyo MX,N/A,tt2176165,20,86
Mila,SAT1 Emotions,N/A,tt5004332,20,67
Bad Sisters,,Apple TV+,tt1616169,19,246
Action,Showtime,N/A,tt9776008,19,135
Ellen,ABC,N/A,tt0108761,19,118
Live,tvN,N/A,tt7976532,19,83
Asi,Kanal D,N/A,tt1147691,19,82
Mot,France 3,N/A,tt1394794,18,99
Trying,,Apple TV+,tt10982034,18,92
Family,ITV,N/A,tt0380892,18,84
Sever,ČT1,N/A,tt10733720,18,78
Game of Thrones,HBO,N/A,tt0944947,18,77
Cyberpunk: Edgerunners,,Netflix,tt12590266,16,166
The Sandman,,Netflix,tt1751634,16,119
Pantheon,,AMC+,tt11680642,16,107
Black,OCN,N/A,tt7298976,16,103
Dogs,,Netflix,tt9199798,15,122
Reservation Dogs,,Hulu,tt13623580,15,122
Rise,NBC,N/A,tt6487416,15,98
Land,SBS,N/A,tt2337302,15,57
Between,,Netflix,tt4132692,14,102
Special,,Netflix,tt9381622,14,95
Breaking Bad,AMC,N/A,tt0903747,14,81
Mom,MBC,N/A,tt5321476,14,80
Anno,NRK1,N/A,tt5922998,14,68
Pose,FX,N/A,tt7562112,14,60
Origin,,YouTube Premium,tt7801780,14,36
Loving,ABC,N/A,tt0085049,13,134
Punk,EPIX,N/A,tt9419282,13,126
Else,TV 2,N/A,tt13130594,13,97
Sona,,YouTube,tt8804250,13,78
The Leftovers,HBO,N/A,tt2699128,13,73
Honest,ITV,N/A,tt1029892,13,40
VICE,Showtime,N/A,tt2782710,12,80
The Patient,,Hulu,tt15574312,12,64
Move,,Netflix,tt0988041,12,35
Primal,Adult Swim,N/A,tt10332508,11,90
Industry,,HBO Max,tt7671070,11,80
AMO,TV5,N/A,tt7218736,11,68
Murder,BBC Two,N/A,tt0318469,11,60
Chance,,Hulu,tt5620076,11,50
Severance,,Apple TV+,tt11280740,11,48
Stone,ABC,N/A,tt0080283,11,42
Help,BBC Two,N/A,tt0448962,11,31
Believe,NBC,N/A,tt2592094,10,158
This Week,BBC One,N/A,tt0398584,10,139
Away,,Netflix,tt8787802,10,94
The Plot,,Disney+,tt15847282,10,86
Case,Stöð 2,N/A,tt5038858,10,64
Alone,History,N/A,tt4803766,10,60
Welcome,KBS2,N/A,tt11968312,10,58
Persona,,Netflix,tt10027990,10,53
The Wire,HBO,N/A,tt0306414,10,48
Wir,ZDFneo,N/A,tt15812418,10,48
Itch,ABC ME,N/A,tt3962914,10,46
Life,,BBC iPlayer,tt10122020,10,41
LIFE,Fuji TV,N/A,tt1063015,10,41
Cro,ABC,N/A,tt0252130,10,35
Lace,,ALLBLK,tt12597948,10,32
Thriller,ITV,N/A,tt0164295,10,30
Uro,NRK1,NRK TV,tt10055996,10,24
Halfway,BBC Two Wales,N/A,tt9201038,9,75
Better Call Saul,AMC,N/A,tt3032476,9,73
Catch,NPO 3,N/A,tt5468138,9,72
Fleabag,,BBC Three,tt5687612,9,69
Ray,,Netflix,tt14160660,9,64
Anne,ITV,N/A,tt9252090,9,63
Cult,The CW,N/A,tt2193053,9,50
Mental,,France tv slash,tt10122814,9,50
Evil,,Paramount+,tt9055008,9,49
Review,Comedy Central,N/A,tt2141913,9,47
Kept,VH1,N/A,tt0432663,9,47
Doc,ION Television,N/A,tt0283724,9,45
Class,,BBC Three,tt5079788,9,44
Fargo,FX,N/A,tt2802850,9,39
Missing,BBC One,N/A,tt1380582,9,38
Yellowstone,Paramount Network,N/A,tt4236770,9,38
Detective,Lifetime,N/A,tt0385400,9,37
Banshee,Cinemax,N/A,tt2017109,9,32
The Expanse,,Prime Video,tt3230854,9,32
Ana,,Prime Video,tt11457996,9,32
Community,,YAHOO! View,tt1439629,8,89
Black Bird,,Apple TV+,tt4301160,8,71
Played,CTV,N/A,tt2886812,8,67
Rex,Televízia Markíza,N/A,tt7379170,8,55
Welcome to Wrexham,FX,Hulu,tt14674086,8,55
Rising,,Hill.TV,tt11143300,8,53
Strange,BBC One,N/A,tt0312209,8,52
Girls,HBO,N/A,tt1723816,8,48
GIRLS,UBS,N/A,tt8709752,8,48
Dom,,Prime Video,tt13354188,8,37
Home,,Apple TV+,tt8068900,8,35
Shadow,,Netflix,tt9817236,8,33
Invincible,,Prime Video,tt6741278,8,31
Tokyo Vice,,HBO Max,tt2887954,8,31
Cos,ABC,N/A,tt0073976,8,30
Roc,FOX,N/A,tt0101184,8,29
House of Drag,,TVNZ OnDemand,tt10518856,8,27
Pet,RTS1,N/A,tt7255272,8,25
Treme,HBO,N/A,tt1279972,8,23
rage,ABC,N/A,tt0400016,8,22
Sent,HBO Asia,N/A,tt6738438,8,22
Peaky Blinders,BBC One,N/A,tt2442560,8,18
Lost,jTBC,N/A,tt14609588,8,16
Rick and Morty,Adult Swim,N/A,tt2861424,7,64
The Resort,,Peacock,tt11897688,7,64
Today,NBC,N/A,tt0044298,7,63
Atlanta,FX,N/A,tt4288182,7,62
For All Mankind,,Apple TV+,tt7772588,7,58
Cane,CBS,N/A,tt0955250,7,51
Chernobyl,HBO,N/A,tt7366338,7,50
Elementary,CBS,N/A,tt2191671,7,48
Release,,Topic,tt12767700,7,42
Sort Of,,CBC Gem,tt15221950,7,39
Aspe,VTM,N/A,tt0379609,7,38
Happy,NBC,N/A,tt0053506,7,36
The Sopranos,HBO,N/A,tt0141842,7,31
Phenom,ABC,N/A,tt0106100,7,31
School,BBC Two,N/A,tt9247732,7,30
Together,ITV,N/A,tt1003253,7,29
ToGetHer,CTV,N/A,tt1405797,7,29
Stupid,BBC One,N/A,tt0499408,7,29
Bull,CBS,N/A,tt5827228,7,18
Bod,BBC One,N/A,tt0367295,7,15
Working,NBC,N/A,tt0118517,6,49
Arcane,,Netflix,tt11126994,6,46
Amazon,Syndication,N/A,tt0205737,6,40
Epic,Destination America,N/A,tt2428060,6,40
Liar,ITV,N/A,tt6021284,6,39
Stranger,tvN,N/A,tt6461346,6,39
Big Little Lies,HBO,N/A,tt3920596,6,38
Peacock,,BBC iPlayer,tt9308200,6,33
Wanted,SBS,N/A,tt5779344,6,32
Factory,Paramount Network,N/A,tt1152496,6,31
18,Antena 3,N/A,tt1321964,6,31
Shadows,ITV,N/A,tt0398561,6,30
What We Do in the Shadows,FX,N/A,tt7908628,6,30
Dig,USA Network,N/A,tt3597606,6,28
Anna,Sky Atlantic,N/A,tt11199132,6,26
Simon,France 5,N/A,tt7699866,6,22
The Great,,Hulu,tt2235759,6,22
Sharp Objects,HBO,N/A,tt2649356,6,21
Cross,tvN,N/A,tt7794314,6,19
Rita,TV2,N/A,tt1973692,6,18
Caught,CBC,N/A,tt5596468,6,18
Boj,CBeebies,N/A,tt4402132,6,8
Delete,REELZ,N/A,tt2316306,6,1
Space,CBS,N/A,tt0088611,5,56
Star Trek,NBC,N/A,tt0060028,5,46
40,Channel 4,N/A,tt0352034,5,45
All In,SBS,N/A,tt0431504,5,43
Euphoria,HOT3,N/A,tt2896496,5,37
Rain,,MX Player,tt7166518,5,36
Abbott Elementary,ABC,N/A,tt14218830,5,36
Torn,ITV,N/A,tt1013873,5,34
The Orville,,Hulu,tt5691552,5,33
Soundtrack,,Netflix,tt7913450,5,33
The Rehearsal,HBO,N/A,tt10802170,5,33
Archer,NBC,N/A,tt0072468,5,32
Stranger Things,,Netflix,tt4574334,5,31
Yellowjackets,Showtime,N/A,tt11041332,5,30
True Detective,HBO,N/A,tt2356777,5,29
The Shield,FX,N/A,tt0286486,5,28
Huge,FreeForm,N/A,tt1591511,5,28
Major,NHK,N/A,tt1693435,5,28
Sex,TV2,N/A,tt11382382,5,28
Tonight,ITV,N/A,tt0213373,5,27
Barry,HBO,N/A,tt5348176,5,27
Mike,,Hulu,tt14181914,5,26
My Name,,Netflix,tt12940504,5,26
Raw,RTÉ ONE,N/A,tt1233560,5,24
Voice,OCN,N/A,tt6212854,5,23
Warrior,,HBO Max,tt5743796,5,23
Kingdom,Mnet,N/A,tt12138838,5,22
Hero,MBC,N/A,tt1622747,5,22
Homeland,Showtime,N/A,tt1796960,5,21
The Knick,Cinemax,N/A,tt2937900,5,21
Rome,HBO,N/A,tt0384766,5,21
Ella,VTM,N/A,tt1688211,5,21
Trop,,ICI Tou.tv,tt8267548,5,21
The Writer,MBC Drama,N/A,tt10312958,5,21
Westworld,HBO,N/A,tt0475784,5,20
Spy,KBS2,N/A,tt4339300,5,20
Jes,VTM,N/A,tt1395461,5,19
The Premise,,Hulu,tt10731840,5,18
Critical,Sky Showcase,N/A,tt3502470,5,17
Thea,ABC,N/A,tt0106151,5,16
Under the Banner of Heaven,,Hulu,tt1998372,5,15
Eyes,ABC,N/A,tt0419323,5,13
Legion,FX,N/A,tt5114356,5,13
Station Eleven,,HBO Max,tt10574236,5,13
Gran,BBC One,N/A,tt0435959,5,10
Mare of Easttown,HBO,N/A,tt10155688,5,10
Line of Duty,BBC One,N/A,tt2303687,5,9
Harley Quinn,,HBO Max,tt7658402,5,8
The One,,Netflix,tt13879466,5,8
Genius,National Geographic Channel,N/A,tt5673782,4,70
Harmon,Reshet 13,N/A,tt7930816,4,68
Radar,NPO 1,N/A,tt1190087,4,62
Dope,,Netflix,tt7782022,4,43
Dopesick,,Hulu,tt9174558,4,43
Beat,,Prime Video,tt7095194,4,37
The Building,CBS,N/A,tt0105964,4,34
Only Murders in the Building,,Hulu,tt12851524,4,34
The Americans,NBC,N/A,tt0054515,4,32
Released,Oprah Winfrey Network,N/A,tt8343746,4,31
Threads,,go90,tt7149818,4,31
The Following,FOX,N/A,tt2071645,4,29
Friends,ABC,N/A,tt0078615,4,29
Slow Burn,EPIX,N/A,tt11474458,4,26
The Boys,,Prime Video,tt1190634,4,24
Cheers,Telecinco,N/A,tt2006371,4,23
Cheer,,Netflix,tt11426660,4,23
Bang,S4C,N/A,tt7194490,4,23
Bigger,,BET+,tt10525048,4,23
Extra,Syndication,N/A,tt0247094,4,22
Return,SBS,N/A,tt7825618,4,22
Extraordinary Attorney Woo,ENA,N/A,tt20869502,4,22
