name,streaming,network,mentions,regex-mentions,score,regex-score,consecutive,gain,total mentions,total-regex-mentions,total top,last date,total score,total-regex-score,week added
Better,BBC iPlayer,,69,66,358,348,10,24,568,560,10,,2783,2759,7
BEEF,Netflix,,61,60,643,613,2,-47,169,162,2,,2229,2126,16
Will,N/A,TNT,60,57,422,411,10,8,507,478,10,,2471,2342,7
Succession,N/A,HBO,59,54,685,648,8,11,345,293,11,,3267,2847,1
Ted Lasso,Apple TV+,,41,41,455,455,6,20,272,238,13,,2136,1913,1
Barry,N/A,HBO,34,32,321,304,3,20,146,124,5,,1171,1022,1
The Mandalorian,Disney+,,25,25,200,200,7,11,151,138,7,,1208,1143,1
Yellowjackets,N/A,Showtime,23,21,246,230,4,2,140,113,4,,1507,1349,1
Sona,YouTube,,23,0,170,0,4,10,242,4,15,,1280,32,1
Star Trek: Picard,Paramount+,,23,2,152,22,8,10,135,9,8,,937,118,1
Perry Mason,N/A,HBO,22,21,240,232,3,8,114,107,5,,1155,1092,1
Loving,N/A,ABC,22,22,206,206,5,9,170,156,9,,1309,1218,1
The Plot,Disney+,,20,18,165,157,2,10,163,125,5,,954,723,1
This Week,N/A,BBC One,19,16,250,207,5,2,191,130,12,,1603,1151,1
The Act,Hulu,,19,1,184,7,5,0,229,1,13,,1419,7,1
Persona,Netflix,,19,0,150,0,4,7,204,4,11,,1085,32,1
The Sopranos,N/A,HBO,19,19,120,120,1,17,126,108,6,,698,608,1
Power,N/A,STARZ,17,12,118,89,1,12,180,98,7,08-04-2023,1123,491,1
Sent,N/A,HBO Asia,17,7,113,75,1,9,161,57,5,08-04-2023,877,315,1
Agent,Netflix,,17,14,103,85,4,1,120,99,4,,805,686,1
Finally,N/A,MBC,16,16,141,141,1,8,32,32,1,,274,274,14
The Night Agent,Netflix,,16,14,90,85,4,2,91,85,4,,611,583,1
Star Trek,N/A,NBC,16,16,72,72,1,11,117,105,3,08-04-2023,705,667,1
Family,N/A,ITV1,16,16,67,67,1,8,166,135,8,,914,711,1
Trying,Apple TV+,,15,15,116,116,16,-2,260,234,16,,1233,1131,1
Strange,N/A,BBC One,14,10,68,45,1,10,118,69,4,08-04-2023,533,314,1
STAT,N/A,ICI Radio-Canada Télé,13,0,97,0,6,-2,130,2,7,,801,4,6
Breaking Bad,N/A,AMC,13,13,88,88,2,3,124,105,4,,661,581,1
Lost,N/A,jTBC,13,13,83,83,3,-2,169,152,10,,820,749,1
Black,N/A,OCN,13,12,72,59,1,6,264,204,15,08-04-2023,1505,1183,1
DAVE,N/A,ORF 1,13,13,63,63,1,10,33,25,1,,147,104,1
