name,streaming,network,mentions,regex-mentions,score,regex-score,consecutive,gain,total mentions,total-regex-mentions,total top,last date,total score,total-regex-score,week added
Better,BBC iPlayer,,64,62,218,216,26,24,1341,1305,26,,6841,6712,7
Twisted,JioCinema,,23,23,211,211,2,-2,70,70,2,,577,577,1
Will,N/A,TNT,23,22,74,69,26,-20,1241,1176,26,,6113,5768,7
Twisted Metal,Peacock,,22,22,183,183,2,-2,55,54,2,,460,457,18
Justified,N/A,FX,21,21,85,85,4,5,235,227,8,,1269,1222,1
The Wire,N/A,HBO,18,15,50,45,1,15,287,260,12,,1447,1263,1
Hijack,Apple TV+,,15,14,148,146,7,-9,169,150,7,,1315,1217,13
Foundation,Apple TV+,,15,15,114,114,2,-11,159,146,4,,1090,1048,1
The Foundation,N/A,Showcase,15,15,114,114,2,-11,154,146,4,,1068,1048,1
Strange,N/A,BBC One,15,14,98,99,1,6,290,213,12,02-08-2023,1529,1236,1
The Leftovers,N/A,HBO,15,12,63,52,1,9,280,247,9,,1529,1359,1
Happy,N/A,NBC,15,15,63,63,1,7,410,383,23,,2376,2181,1
The Building,N/A,CBS,14,10,71,53,1,5,212,189,3,,1333,1194,1
New World,Netflix,,13,1,97,9,1,4,142,12,6,02-08-2023,948,76,1
Trying,Apple TV+,,13,13,74,74,5,0,474,445,30,,2434,2308,1
The Act,Hulu,,13,0,57,0,2,2,465,1,28,,2918,7,1
Brot,N/A,Ríkisútvarpið,13,0,53,0,2,3,202,0,4,,1030,0,1
Murder,N/A,BBC Two,13,6,43,15,1,6,307,153,10,,1790,919,1
New Worlds,N/A,Channel 4,12,12,88,88,1,5,129,124,6,02-08-2023,857,844,1
The Bear,Hulu,,12,11,88,81,8,-8,331,292,10,,2995,2766,1
Limit,N/A,TV Tokyo,12,0,78,0,1,11,136,8,2,,652,34,1
Ride,N/A,Hallmark Channel,12,11,78,75,1,3,148,139,4,02-08-2023,1150,1089,16
Black,N/A,OCN,12,11,60,59,14,2,562,463,30,,3168,2677,1
The Rig,Prime Video,,12,3,60,16,1,3,206,16,7,,1373,77,1
Evil,Paramount+,,12,12,50,50,1,9,223,163,6,,1040,742,1
Succession,N/A,HBO,11,10,83,76,1,7,810,739,24,,7729,7204,1
Star Trek,N/A,NBC,11,11,66,66,1,5,237,222,9,02-08-2023,1557,1511,1
Silo,Apple TV+,,11,11,66,66,2,-8,558,529,13,,4823,4672,8
Loving,N/A,ABC,11,11,59,59,3,1,330,316,20,,2479,2388,1
The Lincoln Lawyer,Netflix,,11,11,53,53,1,7,47,46,1,,228,225,1
Ante,N/A,NRK1,11,0,43,0,2,-1,56,2,3,,237,18,28
Mad Men,N/A,AMC,11,8,28,27,1,10,133,121,3,,780,722,1
Home,Apple TV+,,11,1,19,1,1,4,255,118,6,,1284,649,1
Cross,Prime Video,,10,3,91,33,1,6,188,106,5,,1029,537,1
Good Omens,Prime Video,,10,10,73,73,2,-4,44,42,2,,332,322,1
Thriller,N/A,ITV1,10,7,69,44,2,-1,238,185,7,,1441,1035,1
Fisk,N/A,ABC,10,10,57,57,1,10,13,12,1,,67,65,1
House,N/A,FOX,10,9,41,39,1,4,363,289,18,,1840,1452,1
Change,N/A,Fuji TV,10,7,40,24,1,10,10,7,1,,40,24,32
The Audience,N/A,Channel 4,10,10,36,36,1,9,126,103,1,,525,412,1
The Americans,N/A,NBC,10,8,34,30,1,8,232,203,9,,1572,1444,1
