name,streaming,network,mentions,regex-mentions,score,regex-score,consecutive,gain,total mentions,total-regex-mentions,total top,last date,total score,total-regex-score,week added
The Last of Us,N/A,HBO,64,56,492,407,3,-12,202,158,3,,1599,1305,1
Poker Face,Peacock,,60,58,544,517,2,50,70,68,2,,626,599,1
Extra,N/A,Syndication,40,3,284,6,2,28,63,5,2,,453,12,1
Extraordinary,Disney+,,37,36,267,264,2,26,53,49,2,,402,342,1
Lockwood & Co.,Netflix,,27,5,212,53,1,27,27,5,1,,212,53,1
Shrink,Seeso,,24,0,179,0,1,19,29,1,1,,211,11,1
Shrinking,Apple TV+,,24,24,179,179,1,20,28,28,1,,200,200,1
House,N/A,FOX,21,18,69,58,5,8,87,48,5,,382,171,1
Happy,N/A,NBC,19,19,104,104,5,-7,86,60,5,,558,374,1
Peacock,BBC iPlayer,,18,18,132,132,1,10,40,32,1,,233,203,1
Sona,YouTube,,18,0,65,0,5,5,73,0,5,,284,0,1
The British,N/A,Sky Atlantic,17,16,162,139,2,7,47,31,2,,276,197,1
The Wire,N/A,HBO,17,17,81,81,3,7,50,38,3,,309,187,1
Black,N/A,OCN,17,14,74,64,5,1,86,39,5,,465,236,1
Persona,Netflix,,17,0,63,0,1,8,60,0,2,20-01-2023,250,0,1
Murder,N/A,BBC Two,16,10,128,90,1,7,60,22,1,,377,140,1
Power,N/A,STARZ,16,10,94,40,1,7,52,21,1,,327,109,1
Empire,N/A,CBS,16,16,47,47,1,11,28,21,1,,86,65,1
Lost,N/A,jTBC,15,14,171,169,3,5,51,36,3,,317,248,1
Trying,Apple TV+,,15,15,107,107,5,1,65,44,5,,258,181,1
Rain,MX Player,,15,10,102,20,1,11,41,17,2,20-01-2023,220,37,1
Detective,N/A,Lifetime,14,14,97,97,1,6,42,29,1,,250,167,1
The Sopranos,N/A,HBO,14,14,79,79,1,6,44,29,2,,241,169,1
Release,Topic,,14,3,79,25,1,6,56,15,2,20-01-2023,289,90,1
Better Call Saul,N/A,AMC,14,13,73,72,1,13,33,15,1,,166,74,1
Hero,N/A,MBC,14,10,73,54,1,9,54,13,3,20-01-2023,316,65,1
Ghost,N/A,SBS,14,9,66,43,1,12,38,10,2,20-01-2023,145,45,1
Loving,N/A,ABC,14,14,59,59,1,7,46,32,2,20-01-2023,268,177,1
