name,streaming,network,mentions,score,consecutive,gain,total mentions,total top,last date,total score,week added
Love,N/A,MBC,97,501,2,-10,204,2,,1001,1
Dark,Netflix,,34,215,2,-5,73,2,,369,1
Star Wars: Andor,Disney+,,29,177,2,10,48,2,,277,1
Slow Horses,Apple TV+,,28,226,2,3,53,2,,492,1
VICE,N/A,Showtime,23,219,2,6,40,2,,259,1
Itch,N/A,ABC ME,22,119,2,6,38,2,,187,1
Anno,N/A,NRK1,22,112,2,8,36,2,,170,1
Succession,N/A,HBO,20,168,2,8,32,2,,225,1
The Act,Hulu,,20,96,2,6,34,2,,176,1
The Rig,Prime Video,,19,137,1,13,25,1,,162,1
The Great Show,N/A,tvN,18,107,1,18,18,1,,107,1
The White Lotus,N/A,HBO,18,105,2,2,34,2,,184,1
Pose,N/A,FX,18,60,2,7,29,2,,80,1
Stone,N/A,ABC,17,96,2,-6,40,2,,165,1
Honest,N/A,ITV1,17,64,2,4,30,2,,114,1
Severance,Apple TV+,,16,144,2,-20,52,2,,349,1
Kings,N/A,NBC,16,82,1,11,21,1,,136,1
Black,N/A,OCN,15,63,2,-10,40,2,,215,1
Class,BBC Three,,14,82,1,6,22,1,,123,1
Yellowstone,N/A,Paramount Network,14,80,2,-8,36,2,,147,1
Murder,N/A,BBC Two,14,73,2,2,26,2,,164,1
The Plot,Disney+,,14,66,1,6,22,1,,115,1
Hero,N/A,MBC,14,51,1,5,23,1,,124,1
Tokyo Vice,HBO Max,,13,164,1,10,16,1,,170,1
Sent,N/A,HBO Asia,13,89,2,-1,27,2,,152,1
Evil,Paramount+,,13,82,2,-7,33,2,,162,1
Sona,YouTube,,13,56,2,1,25,2,,92,1
The British,N/A,Sky Atlantic,13,51,1,12,14,1,,54,1
The Expanse,Prime Video,,13,48,1,7,19,1,,64,1
Wanted,N/A,SBS,12,156,2,0,24,2,,214,1
Happy,N/A,NBC,12,85,2,-2,26,2,,184,1
Family,N/A,ITV1,12,75,2,-7,31,2,,203,1
House,N/A,FOX,12,65,2,-9,33,2,,190,1
The Sopranos,N/A,HBO,12,64,1,9,15,1,,72,1
The English,BBC iPlayer,,12,62,1,5,19,1,,128,1
This Week,N/A,BBC One,12,61,2,-2,26,2,,142,1
Chance,Hulu,,12,60,1,6,18,1,,101,1
Review,N/A,Comedy Central,12,52,2,-3,27,2,,120,1
Sign,N/A,TV Asahi,12,46,1,5,19,1,,76,1
Away,Netflix,,12,46,2,1,23,2,,116,1
Delete,N/A,REELZ,12,20,2,2,22,2,,32,1
Believe,N/A,NBC,11,73,1,5,17,1,,110,1
Kaleidoscope,Netflix,,11,68,2,-5,27,2,,140,1
Trying,Apple TV+,,11,38,2,1,21,2,,77,1
The Deleted,fullscreen,,11,19,1,11,11,1,,19,1
Wednesday,Netflix,,10,102,2,0,20,2,,168,1
Mayo,N/A,BBC One,10,49,1,10,10,1,,49,1
Home,Apple TV+,,10,44,1,2,18,1,,77,1
Power,N/A,STARZ,10,41,2,0,20,2,,131,1
Cult,N/A,The CW,10,31,1,3,17,1,,72,1
1899,Netflix,,9,118,0,0,24,0,06-01-2023,202,1
Alice,N/A,SBS,9,96,0,0,20,0,06-01-2023,202,1
Mr Inbetween,N/A,FX,9,89,0,0,22,0,06-01-2023,161,1
The InBetween,N/A,NBC,9,89,0,0,9,0,,89,1
Psych,N/A,USA Network,9,72,0,0,17,0,,111,1
Thriller,N/A,ITV1,9,71,0,0,15,0,,94,1
Tulsa King,Paramount+,,9,62,0,0,12,0,,72,1
Amazon,N/A,Syndication,9,59,0,0,15,0,,84,1
Television,N/A,ITV1,9,55,0,0,18,0,,75,1
Bosch,Prime Video,,9,53,0,0,9,0,,53,1
Persona,Netflix,,9,51,0,0,19,0,06-01-2023,77,1
Woman,N/A,NTV,9,46,0,0,16,0,,77,1
Monster,N/A,NRK1,9,42,0,0,12,0,,63,1
Stupid,N/A,BBC One,9,41,0,0,18,0,,72,1
The Wire,N/A,HBO,9,39,0,0,12,0,,122,1
Space,N/A,CBS,9,37,0,0,15,0,,54,1
Blind,TVING,tvN,9,37,0,0,11,0,,70,1
Rogue,N/A,Audience Network,9,31,0,0,13,0,,52,1
Release,Topic,,9,31,0,0,20,0,06-01-2023,78,1
Ghost,N/A,SBS,9,30,0,0,12,0,,42,1
Norm,N/A,ABC,9,27,0,0,17,0,,78,1
Riot,N/A,FOX,9,15,0,0,10,0,,20,1
Patriot,Prime Video,,9,15,0,0,10,0,,20,1
Alice in Borderland,Netflix,,8,93,0,0,18,0,06-01-2023,197,1
Happy Valley,N/A,BBC One,8,74,0,0,15,0,,114,1
