name,streaming,network,mentions,regex-mentions,score,regex-score,consecutive,gain,total mentions,total-regex-mentions,total top,last date,total score,total-regex-score,week added
The Last of Us,N/A,HBO,54,41,489,389,1,51,62,41,1,,521,389,1
House,N/A,FOX,20,17,76,66,3,8,53,17,3,,266,66,1
Played,N/A,CTV,18,18,67,67,1,11,32,18,1,,187,67,1
Star Wars: Andor,Disney+,,18,0,65,0,3,-11,66,0,3,,342,0,1
Severance,Apple TV+,,17,17,161,161,3,1,69,17,3,,510,161,1
The Act,Hulu,,17,0,67,0,3,-3,51,0,3,,243,0,1
Sona,YouTube,,17,0,65,0,3,4,42,0,3,,157,0,1
Review,N/A,Comedy Central,16,2,51,12,3,4,43,2,3,,171,12,1
Move,Netflix,,16,2,22,3,1,11,33,2,1,06-01-2023,85,3,1
Happy,N/A,NBC,15,15,94,94,3,3,41,15,3,,278,94,1
Persona,Netflix,,15,0,59,0,1,6,34,0,1,06-01-2023,136,0,1
Trying,Apple TV+,,15,15,37,37,3,4,36,15,3,,114,37,1
The Expanse,Prime Video,,14,13,153,152,2,1,33,13,2,,217,152,1
Release,Topic,,14,6,86,30,1,5,34,6,1,06-01-2023,164,30,1
Pose,N/A,FX,14,5,49,10,3,-4,43,5,3,,129,10,1
Delete,N/A,REELZ,14,0,-6,0,3,2,36,0,3,,26,0,1
The Deleted,fullscreen,,14,14,-6,-6,2,3,25,14,2,,13,-6,1
Black,N/A,OCN,13,10,116,103,3,-2,53,10,3,,331,103,1
The Great,Hulu,,13,7,66,36,1,6,29,7,1,,115,36,1
Rain,MX Player,,13,5,43,9,1,6,22,5,1,,103,9,1
Hunters,Prime Video,,13,13,37,37,1,8,18,13,1,,58,37,1
Hunter,N/A,CBS,13,0,37,0,1,6,24,0,1,,126,0,1
Counterpart,N/A,STARZ,13,12,36,35,1,10,18,12,1,,62,35,1
Raised by Wolves,HBO Max,,13,13,35,35,1,12,15,13,1,,50,35,1
Hero,N/A,MBC,12,1,100,6,2,-2,35,1,2,,224,6,1
Sara,N/A,RTP2,12,1,76,11,1,12,13,1,1,,77,11,1
Blind,TVING,tvN,12,8,76,57,1,3,23,8,1,,146,57,1
Lost,N/A,jTBC,12,12,38,38,1,6,26,12,1,,105,38,1
Slow Horses,Apple TV+,,11,11,113,113,3,-17,64,11,3,,605,113,1
Heroes,N/A,CCTV-8,11,11,94,94,1,3,25,11,1,,179,94,1
The Wire,N/A,HBO,11,11,78,78,1,2,23,11,1,,200,78,1
Family,N/A,ITV1,11,11,73,73,3,-1,42,11,3,,276,73,1
Loving,N/A,ABC,11,11,73,73,1,6,25,11,1,,164,73,1
Amazon,N/A,Syndication,11,11,55,55,1,2,26,11,1,,139,55,1
Believe,N/A,NBC,11,10,50,56,2,0,28,10,2,,160,56,1
Servant,Apple TV+,,11,10,49,38,1,9,14,10,1,,79,38,1
This Week,N/A,BBC One,10,8,78,54,3,-2,36,8,3,,220,54,1
The English,BBC iPlayer,,10,10,75,75,2,-2,29,10,2,,203,75,1
Happy Valley,N/A,BBC One,10,9,66,64,1,2,25,9,1,,180,64,1
Away,Netflix,,10,10,52,52,3,-2,33,10,3,,168,52,1
Ted Lasso,Apple TV+,,10,9,51,40,1,3,31,9,1,06-01-2023,181,40,1
The One,Netflix,,10,9,50,49,1,5,22,9,1,,106,49,1
Rush,N/A,Network 10,10,2,47,11,1,5,16,2,1,,76,11,1
Chance,Hulu,,10,10,45,45,2,-2,28,10,2,,146,45,1
1923,Paramount+,,10,9,40,34,1,2,40,9,1,06-01-2023,141,34,1
