name,streaming,network,mentions,regex-mentions,score,regex-score,consecutive,gain,total mentions,total-regex-mentions,total top,last date,total score,total-regex-score,week added
Better,BBC iPlayer,,45,44,221,208,23,13,1189,1160,23,,6157,6052,7
Hijack,Apple TV+,,36,29,280,246,4,13,106,94,4,,812,753,13
Will,N/A,TNT,36,35,162,160,23,-10,1141,1080,23,,5715,5386,7
Foundation,Apple TV+,,25,25,236,236,2,6,109,99,2,,766,727,1
The Foundation,N/A,Showcase,25,25,236,236,2,6,104,99,2,,744,727,1
Silo,Apple TV+,,22,21,190,187,11,-8,522,497,11,,4588,4449,8
Justified,N/A,FX,22,19,102,77,1,17,171,163,5,,917,870,1
The Righteous Gemstones,N/A,HBO,21,21,165,165,4,7,97,91,4,,927,878,1
The Bear,Hulu,,21,18,157,125,5,-3,280,242,7,,2577,2355,1
Hunter,N/A,CBS,20,12,83,42,1,19,127,52,3,,689,316,1
Shadow,Netflix,,17,3,131,19,1,15,148,81,5,,952,507,1
Trying,Apple TV+,,17,16,104,100,2,5,436,407,27,,2213,2087,1
House,N/A,FOX,17,14,72,65,1,12,338,269,17,,1721,1357,1
Invasion,Apple TV+,,16,16,134,134,5,5,90,81,5,,686,611,1
Secret Invasion,Disney+,,16,16,134,134,5,6,77,70,5,,619,549,1
Ride,N/A,Hallmark Channel,16,15,107,106,1,10,114,107,2,,924,884,16
Lost,N/A,jTBC,16,15,92,88,16,3,430,403,23,,2335,2184,1
Black,N/A,OCN,16,15,83,78,11,-1,522,433,27,,2974,2520,1
The Rig,Prime Video,,15,0,129,0,4,3,177,13,6,,1159,61,1
Warrior,Max,,15,13,126,115,5,-11,165,134,5,,1334,1135,1
Strange,N/A,BBC One,15,15,109,109,5,1,251,177,10,,1291,1001,1
Riot,N/A,FOX,15,13,78,74,1,10,172,138,5,,1035,936,1
Patriot,Prime Video,,15,13,78,74,1,10,152,131,4,,951,909,1
MINDHUNTER,Netflix,,15,10,54,37,1,15,52,37,1,,330,233,1
Shadows,N/A,ITV1,14,14,112,112,1,13,46,39,1,,298,261,1
Platonic,Apple TV+,,14,14,93,93,1,6,101,93,6,,679,640,13
Crowded,N/A,NBC,14,14,90,90,1,5,73,73,3,,460,460,1
The Crowded Room,Apple TV+,,14,14,90,90,1,6,68,65,3,,418,405,1
The Act,Hulu,,14,0,70,0,18,-10,435,1,26,,2759,7,1
What We Do in the Shadows,N/A,FX,13,13,104,104,1,12,42,37,1,,281,261,1
Aile,N/A,Show TV,13,0,54,0,1,4,238,0,11,,1152,0,4
Catch,N/A,NPO 3,13,11,47,37,2,2,267,187,11,,1818,1357,1
The Bureau,N/A,Investigation Discovery,13,13,40,40,2,3,108,92,3,,461,418,1
Star Trek,N/A,NBC,12,12,116,116,3,-4,206,192,7,,1358,1314,1
New Worlds,N/A,Channel 4,12,11,96,90,2,2,98,95,4,,645,637,1
New World,Netflix,,12,0,96,0,2,0,108,8,4,,719,57,1
Barry,N/A,HBO,12,11,86,83,2,-1,480,444,15,,4097,3835,1
Family,N/A,ITV1,12,12,61,61,10,-2,334,299,20,,1789,1561,1
