name,streaming,network,mentions,regex-mentions,score,regex-score,consecutive,gain,total mentions,total-regex-mentions,total top,last date,total score,total-regex-score,week added
Succession,N/A,HBO,77,76,752,745,14,6,678,611,17,,6583,6069,1
Better,BBC iPlayer,,71,70,293,292,16,29,864,844,16,,4391,4321,7
Barry,N/A,HBO,68,63,475,431,9,28,401,371,11,,3493,3260,1
Will,N/A,TNT,61,57,346,326,16,23,831,781,16,,4247,3967,7
Silo,Apple TV+,,54,50,473,453,4,7,222,212,4,,2414,2323,8
Ted Lasso,Apple TV+,,32,30,319,305,12,-5,439,395,19,,3687,3372,1
The Leftovers,N/A,HBO,31,29,175,158,1,25,209,184,8,20-05-2023,1083,934,1
Yellowjackets,Showtime on Demand,,28,26,287,281,10,-2,286,253,10,,3023,2818,1
This Week,N/A,BBC One,21,17,211,175,2,9,275,199,16,,2399,1853,1
Class,Netflix,,19,16,100,86,5,7,208,110,7,,1496,858,1
Black,N/A,OCN,19,17,97,82,4,1,351,276,20,,1999,1602,1
Finally,N/A,MBC,18,18,136,136,2,7,107,107,5,,939,939,14
Platonic,Apple TV+,,18,17,74,68,1,16,22,21,1,,85,79,13
House,N/A,FOX,17,16,97,91,6,5,268,211,14,,1349,1055,1
Lost,N/A,jTBC,17,16,63,59,9,-8,296,274,16,,1508,1378,1
Catch,N/A,NPO 3,16,15,108,102,1,8,204,146,8,20-05-2023,1505,1149,1
Sent,N/A,HBO Asia,16,6,67,39,1,10,219,79,8,20-05-2023,1271,508,1
Sona,YouTube,,16,0,55,0,10,6,330,4,21,,1691,32,1
The Wire,N/A,HBO,16,16,53,53,1,7,207,187,9,,1120,949,1
Love & Death,Max,,15,5,114,33,1,7,57,32,2,,446,217,7
BEEF,Netflix,,15,14,62,61,8,5,267,257,8,,3165,3051,16
Trying,Apple TV+,,15,15,52,52,5,0,344,317,21,,1740,1623,1
Case,N/A,Stöð 2,14,12,51,39,1,6,211,163,8,,1136,883,1
Happy,N/A,NBC,13,13,139,139,1,4,277,250,16,,1671,1476,1
Amazon,N/A,Syndication,13,13,98,98,1,4,210,188,10,20-05-2023,1512,1391,1
Review,N/A,Comedy Central,13,3,97,17,1,6,214,48,10,,979,243,1
Wanted,N/A,SBS,13,13,91,91,1,6,197,173,9,20-05-2023,1049,835,1
Away,Netflix,,13,13,67,67,1,7,229,197,15,,1440,1290,1
Drops of God,Apple TV+,,13,13,62,62,2,2,54,53,2,,425,424,4
The Americans,N/A,NBC,13,11,59,43,2,2,166,145,7,,1234,1131,1
The British,N/A,Sky Atlantic,13,13,34,34,1,5,162,145,5,,910,829,1
Mrs. Davis,Peacock,,12,12,156,156,4,-3,68,66,4,,839,822,1
The Marvelous Mrs. Maisel,Prime Video,,12,12,104,104,1,6,58,58,1,,536,536,1
Severance,Apple TV+,,12,9,76,67,4,-3,300,232,16,,2043,1637,1
Aile,N/A,Show TV,12,0,63,0,2,-3,177,0,9,,855,0,4
Move,Netflix,,12,6,61,25,1,5,223,65,10,,983,348,1
The Act,Hulu,,12,0,59,0,11,-2,323,1,19,,2085,7,1
Persona,Netflix,,12,0,49,0,1,6,275,4,15,20-05-2023,1418,32,1
Breaking Bad,N/A,AMC,12,10,47,37,1,6,170,148,6,,908,809,1
Norm,N/A,ABC,12,0,43,0,1,4,150,5,3,20-05-2023,809,32,1
Somebody,N/A,Mnet,12,12,23,23,1,4,70,68,2,,456,438,1
Empire,N/A,CBS,11,9,90,77,1,7,97,79,2,,515,418,1
The Diplomat,Netflix,,11,11,77,77,1,10,108,104,3,,1058,1021,1
Family,N/A,ITV1,11,11,74,74,3,-4,235,202,13,,1297,1081,1
The Sopranos,N/A,HBO,11,11,65,65,1,2,169,148,8,,941,838,1
Shrink,Seeso,,11,0,62,0,1,5,271,3,15,,2323,35,1
Release,Topic,,11,3,60,18,1,6,200,59,8,,1069,295,1
The Last of Us,N/A,HBO,11,8,44,37,1,8,609,471,15,,4554,3842,1
The Premise,Hulu,,11,11,41,41,3,1,190,177,10,,1217,1164,1
The Bear,Hulu,,10,9,70,69,1,6,84,60,2,,572,447,1
Stuck,N/A,TLC,10,10,68,68,1,6,77,72,1,,586,564,1
Pose,N/A,FX,10,5,67,31,1,1,227,62,11,20-05-2023,968,233,1
rage,N/A,ABC,10,8,63,40,1,3,164,112,5,20-05-2023,828,596,1
The Great,Hulu,,10,5,62,27,3,-5,158,80,5,,895,533,1
Shrinking,Apple TV+,,10,10,61,61,1,4,268,251,15,,2310,2163,1
Friends,N/A,ABC,10,9,57,55,1,1,149,104,3,,857,518,1
Mad Men,N/A,AMC,10,9,51,44,1,6,87,80,2,,557,506,1
The Plot,Disney+,,10,8,50,40,1,3,218,177,7,,1303,1058,1
American Born Chinese,Disney+,,10,9,49,47,1,8,16,15,1,,97,95,1
The Citadel,N/A,BBC One,10,10,46,46,1,2,62,61,3,,496,493,1
Citadel,Prime Video,,10,10,46,46,1,2,62,61,3,,496,493,1
Riot,N/A,FOX,10,10,45,45,1,3,114,88,3,,611,548,1
Patriot,Prime Video,,10,10,45,45,1,5,100,82,2,,556,519,1
Justified,N/A,FX,10,10,41,41,1,9,119,116,4,,640,627,1
Loving,N/A,ABC,10,10,35,35,11,-2,245,231,15,,1945,1854,1
Rain,MX Player,,10,8,34,29,2,-2,199,135,11,,1260,771,1
Cross,Prime Video,,10,8,32,28,1,7,133,73,4,,670,348,1
Somebody Somewhere,N/A,HBO,10,9,13,12,1,2,56,50,1,,304,271,1
Rome,N/A,HBO,10,8,9,6,1,8,67,53,1,,341,266,1
Tonight,N/A,ITV1,9,8,65,61,0,0,94,84,0,,627,589,1
Easy,Netflix,,9,9,57,57,0,0,175,159,6,,1234,1167,1
The One,Netflix,,9,7,53,50,0,0,139,98,5,,720,580,1
The Building,N/A,CBS,9,8,50,41,0,0,127,110,1,,807,698,1
FUBAR,Netflix,,9,9,43,43,0,0,20,20,0,,116,116,11
Believe,N/A,NBC,9,9,37,37,0,0,181,150,8,,887,755,1
Better Call Saul,N/A,AMC,9,5,35,25,0,0,147,92,4,,668,427,1
Mani,YouTube,,9,0,35,0,0,0,78,0,0,,432,0,1
The Writer,N/A,MBC Drama,9,0,24,0,0,0,108,21,0,,507,121,1
Sort Of,CBC Gem,,9,9,14,14,0,0,169,155,4,,873,808,1
The Other Two,Max,,8,8,73,73,0,0,56,52,1,,439,416,1
Boardwalk Empire,N/A,HBO,8,6,68,55,0,0,59,51,1,,316,251,1
DAVE,N/A,ORF 1,8,8,61,61,0,0,81,70,3,,539,476,1
City on Fire,Apple TV+,,8,8,61,61,0,0,15,14,0,,99,93,3
Ares,Netflix,,8,8,46,46,0,0,47,36,0,,248,207,1
Anne,N/A,ITV1,8,3,43,15,0,0,166,24,5,27-05-2023,962,190,1
Shadow,Netflix,,8,4,22,15,0,0,119,76,4,,744,479,1
Treme,N/A,HBO,8,3,21,2,0,0,138,21,2,,792,97,1
The Bureau,N/A,Investigation Discovery,8,8,21,21,0,0,57,44,0,,243,205,1
Ride,N/A,Hallmark Channel,7,7,89,89,0,0,61,59,1,,497,475,16
The InBetween,N/A,NBC,7,7,73,73,0,0,117,90,2,,855,656,1
Warrior,Max,,7,4,50,33,0,0,66,50,0,,435,339,1
Caught,N/A,CBC,7,7,47,47,0,0,132,120,2,,929,889,1
Halt and Catch Fire,N/A,AMC,7,6,45,34,0,0,63,54,1,,504,450,1
Major,N/A,NHK,7,5,39,23,0,0,115,82,1,,556,427,1
Released,N/A,Oprah Winfrey Network,7,7,36,36,0,0,121,105,0,,635,566,1
Five,N/A,Fuji TV,7,7,32,32,0,0,81,69,0,,406,363,1
Rita,N/A,TV2,7,4,29,7,0,0,72,14,0,,428,38,1
Halfway,N/A,BBC Two Wales,7,7,26,26,0,0,104,96,0,,689,626,1
Mood,BBC iPlayer,,7,5,24,16,0,0,59,47,0,,269,233,1
Strange,N/A,BBC One,7,4,18,15,0,0,154,90,5,,651,384,1
The English,BBC iPlayer,,7,7,13,13,0,0,112,89,3,,540,390,1
Kept,N/A,VH1,7,7,12,12,0,0,150,127,3,,845,732,1
Mr Inbetween,N/A,FX,6,5,66,48,0,0,125,61,3,,906,381,1
