name,streaming,network,mentions,regex-mentions,score,regex-score,consecutive,gain,total mentions,total-regex-mentions,total top,last date,total score,total-regex-score,week added
Better,BBC iPlayer,,58,58,365,365,4,3,208,206,4,,1127,1123,7
The Last of Us,N/A,HBO,47,39,324,272,8,-1,415,336,8,,3314,2857,1
Will,N/A,TNT,43,40,161,145,4,-13,199,183,4,,937,852,7
Star Trek: Picard,Paramount+,,20,0,103,0,2,10,35,1,2,,175,5,1
The Mandalorian,Disney+,,17,17,128,128,1,10,43,35,1,,271,238,1
Trying,Apple TV+,,17,17,110,110,10,-6,161,138,10,,759,665,1
Sona,YouTube,,17,1,81,6,10,7,138,1,10,,622,6,1
Black,N/A,OCN,16,15,95,92,10,-4,171,119,10,,960,708,1
Severance,Apple TV+,,15,15,158,158,2,-1,165,107,8,,1297,941,1
Happy,N/A,NBC,15,14,79,68,1,7,163,136,9,24-02-2023,901,706,1
The Wire,N/A,HBO,15,14,23,18,1,9,111,96,6,24-02-2023,680,536,1
Poker Face,Peacock,,14,12,140,131,7,-4,185,171,7,,1631,1526,1
Persona,Netflix,,14,1,65,6,1,6,117,1,6,24-02-2023,544,6,1
The Act,Hulu,,13,0,99,0,1,5,143,0,8,24-02-2023,863,0,1
Breaking Bad,N/A,AMC,13,13,86,86,1,7,68,51,1,,374,296,1
Played,N/A,CTV,13,13,42,42,1,10,116,101,5,,654,532,1
Mr. Robot,N/A,USA Network,12,4,124,54,1,9,55,24,2,,370,190,1
Loving,N/A,ABC,12,12,113,113,2,2,89,75,4,,629,538,1
The Americans,N/A,NBC,12,12,68,68,1,9,65,52,2,,344,292,1
Mad Men,N/A,AMC,12,12,43,43,1,4,39,36,1,,256,238,1
Succession,N/A,HBO,12,12,31,31,2,-7,114,79,5,,771,517,1
Delete,N/A,REELZ,12,0,15,0,1,10,78,2,4,,117,6,1
The Deleted,fullscreen,,12,12,15,15,1,11,66,55,3,,103,84,1
The British,N/A,Sky Atlantic,11,11,52,52,1,6,90,74,4,,513,434,1
Lost,N/A,jTBC,11,11,44,44,1,3,90,75,5,,470,401,1
Shrink,Seeso,,10,1,140,23,6,-10,112,2,6,,1007,34,1
Shrinking,Apple TV+,,10,9,140,133,6,-10,111,103,6,,996,950,1
Rush,N/A,Network 10,10,0,76,0,1,1,59,15,2,,270,52,1
Outer Banks,Netflix,,10,10,56,56,2,-1,25,24,2,,159,158,1
Anne,N/A,ITV1,10,4,53,39,1,7,67,11,2,,352,86,1
Catch,N/A,NPO 3,10,8,20,13,1,3,84,54,2,24-02-2023,569,379,1
Party Down,Lionsgate+,,9,8,103,95,0,0,37,33,1,04-03-2023,325,299,1
Rain,MX Player,,9,8,87,83,0,0,73,41,2,,459,209,1
Attack on Titan,N/A,NHK,9,8,85,84,0,0,13,12,0,,106,105,1
Family,N/A,ITV1,9,9,84,84,0,0,116,85,7,,657,454,1
The Plot,Disney+,,9,9,65,65,0,0,89,59,1,,524,342,1
Star Trek,N/A,NBC,9,9,55,55,0,0,48,37,0,,181,144,1
Supernatural,N/A,BBC One,9,9,35,35,0,0,47,36,1,,283,236,1
Strange,N/A,BBC One,9,6,34,26,0,0,65,29,1,04-03-2023,281,111,1
Release,Topic,,8,4,72,61,0,0,98,30,3,,578,202,1
Major,N/A,NHK,8,7,49,45,0,0,58,40,1,,280,220,1
Popular,N/A,The WB,8,8,46,46,0,0,58,40,0,,252,182,1
The Sopranos,N/A,HBO,8,8,39,39,0,0,83,66,4,,459,370,1
Brot,N/A,Ríkisútvarpið,8,0,37,0,0,0,69,0,1,,379,0,1
Ghost,N/A,SBS,8,2,34,2,0,0,84,28,3,,382,117,1
Lockwood & Co.,Netflix,,8,2,34,2,0,0,66,16,2,,451,127,1
Game of Thrones,N/A,HBO,8,8,22,22,0,0,38,33,0,,202,173,1
Sort Of,CBC Gem,,8,8,21,21,0,0,77,64,2,,381,317,1
Case,N/A,Stöð 2,8,4,19,8,0,0,94,62,3,04-03-2023,491,372,1
Evil,Paramount+,,8,5,19,10,0,0,112,67,4,04-03-2023,551,317,1
The Expanse,Prime Video,,7,5,89,37,0,0,62,36,1,,408,283,1
Pose,N/A,FX,7,1,82,4,0,0,103,21,4,,382,59,1
Today,N/A,NBC,7,7,63,63,0,0,58,43,0,,355,259,1
This Week,N/A,BBC One,7,6,59,47,0,0,106,68,7,04-03-2023,817,559,1
The Leftovers,N/A,HBO,7,7,57,57,0,0,68,55,2,,381,322,1
Sent,N/A,HBO Asia,7,1,57,15,0,0,99,27,3,04-03-2023,513,155,1
Chance,Hulu,,7,5,49,49,0,0,68,44,3,,386,284,1
Suspense,N/A,BBC One,7,7,49,49,0,0,30,19,0,,142,91,1
Elementary,N/A,CBS,7,6,47,44,0,0,53,42,0,,327,234,1
Abbott Elementary,N/A,ABC,7,7,47,47,0,0,41,32,0,,232,205,1
Survivor,N/A,ΣΚΑΪ Τηλεόραση,7,7,45,45,0,0,20,18,0,,104,95,1
Easy,Netflix,,7,7,45,45,0,0,86,70,3,,601,534,1
Away,Netflix,,7,6,36,35,0,0,104,77,7,04-03-2023,643,510,1
Happy Valley,N/A,BBC One,7,7,30,30,0,0,90,74,4,,516,400,1
The Killing,Shahid,,7,6,27,23,0,0,33,28,0,,150,132,1
The Godfather,N/A,DMC,7,5,26,20,0,0,32,27,1,,100,85,1
Home,Apple TV+,,7,1,24,1,0,0,85,31,2,,491,179,1
Believe,N/A,NBC,7,7,22,22,0,0,80,56,4,,398,283,1
Baby,Netflix,,7,5,22,17,0,0,46,18,0,,236,106,1
Thriller,N/A,ITV1,7,6,21,19,0,0,53,33,0,,315,176,1
Liar,N/A,ITV1,7,7,18,18,0,0,47,38,1,,201,162,1
Review,N/A,Comedy Central,7,1,17,9,0,0,101,18,5,04-03-2023,446,117,1
Kept,N/A,VH1,7,7,17,17,0,0,62,48,1,,260,204,1
The One,Netflix,,6,3,65,58,0,0,74,49,4,,420,335,1
Better Call Saul,N/A,AMC,6,5,47,42,0,0,54,32,1,,277,168,1
Drive,N/A,FOX,6,3,37,25,0,0,46,17,0,,268,128,1
Wanted,N/A,SBS,6,6,34,34,0,0,88,64,4,,530,316,1
Ghosts,N/A,CBS,6,6,32,32,0,0,54,46,1,,282,251,1
Monk,N/A,USA Network,6,0,31,0,0,0,40,7,0,,174,30,1
12 Monkeys,N/A,Syfy,6,6,31,31,0,0,32,24,0,,143,107,1
Monkey,N/A,NTV,6,0,31,0,0,0,33,2,0,,144,11,1
Keys,Brat,,6,6,31,31,0,0,32,22,0,,143,99,1
The White Lotus,N/A,HBO,6,6,29,29,0,0,102,64,5,,715,495,1
Out There,N/A,IFC,6,6,28,28,0,0,29,19,0,,142,102,1
Blind,TVING,tvN,6,1,26,3,0,0,58,19,2,,361,158,1
Mayo,N/A,BBC One,6,0,25,0,0,0,62,0,1,,321,0,1
Wednesday,Netflix,,6,6,22,22,0,0,43,22,2,,353,180,1
Fortuna,N/A,NRK1,6,0,21,0,0,0,57,0,0,,235,0,1
The Middle,N/A,ABC,6,6,20,20,0,0,55,43,0,,287,188,1
Cardinal,N/A,CTV,6,6,15,15,0,0,9,9,0,,30,30,1
Move,Netflix,,6,3,13,9,0,0,103,21,5,,239,103,1
Train,N/A,OCN,5,4,71,67,0,0,28,15,0,,206,113,1
Extra,N/A,Syndication,5,0,67,0,0,0,135,8,6,04-03-2023,1226,25,1
Star Wars: Andor,Disney+,,5,0,50,0,0,0,96,0,4,,586,0,1
Halfway,N/A,BBC Two Wales,5,5,47,47,0,0,47,39,0,,356,293,1
Survive,Quibi,,5,5,47,47,0,0,21,19,0,,130,123,1
Bosch,Prime Video,,5,5,44,44,0,0,30,21,0,,214,161,1
Scrubs,N/A,ABC,5,5,39,39,0,0,23,20,0,,129,120,1
Working,N/A,NBC,5,5,39,39,0,0,41,32,0,,300,254,1
Stupid,N/A,BBC One,5,5,34,34,0,0,60,38,0,,192,102,1
Power,N/A,STARZ,5,3,30,6,0,0,101,48,3,,653,267,1
Bang,N/A,S4C,5,0,30,0,0,0,42,11,0,,251,48,1
The Great,Hulu,,5,1,30,-1,0,0,74,29,2,,309,153,1
Servant,Apple TV+,,5,5,30,30,0,0,60,56,2,,390,349,1
Line of Duty,N/A,BBC One,5,5,29,29,0,0,22,18,0,,149,126,1
Hero,N/A,MBC,5,2,29,24,0,0,76,26,3,,439,167,1
New Worlds,N/A,Channel 4,5,5,24,24,0,0,14,13,0,,53,52,1
New World,Netflix,,5,0,24,0,0,0,17,2,0,,72,8,1
Punk,N/A,MGM+,5,5,22,22,0,0,15,10,0,,88,51,1
Cyberpunk: Edgerunners,Netflix,,5,1,22,11,0,0,12,1,0,,71,11,1
Big Fan,N/A,ABC,5,5,21,21,0,0,24,19,0,,101,79,1
Ella,N/A,VTM,5,3,21,13,0,0,61,20,1,,355,82,1
The Book of Boba Fett,Disney+,,5,5,21,21,0,0,9,8,0,,49,45,1
American Auto,N/A,NBC,5,4,21,18,0,0,23,21,0,,77,67,1
Harlem,Prime Video,,5,4,21,14,0,0,31,25,1,,101,74,1
GOLD,N/A,Fuji TV,5,3,19,11,0,0,63,13,1,,314,75,1
Alone,N/A,History,5,5,18,18,0,0,52,36,0,,200,141,1
Sign,N/A,TV Asahi,5,1,16,3,0,0,52,15,0,,257,69,1
The Capture,BBC iPlayer,,5,4,14,12,0,0,38,20,0,,178,107,1
The Glory,Netflix,,5,5,13,13,0,0,30,20,0,,147,86,1
Detective,N/A,Lifetime,5,5,12,12,0,0,87,71,3,,564,470,1
Push,N/A,ABC,5,1,12,4,0,0,36,12,0,,183,30,1
The Bureau,N/A,Investigation Discovery,5,5,7,7,0,0,28,18,0,,102,71,1
Aspe,N/A,VTM,5,0,-22,0,0,0,43,0,0,,263,0,1
