name,streaming,network,mentions,regex-mentions,score,regex-score,consecutive,gain,total mentions,total-regex-mentions,total top,last date,total score,total-regex-score,week added
Succession,N/A,HBO,71,64,642,611,13,15,601,535,16,,5831,5324,1
Silo,Apple TV+,,47,44,432,419,3,2,168,162,3,,1941,1870,8
Better,BBC iPlayer,,42,41,248,244,15,-9,793,774,15,,4098,4029,7
Barry,N/A,HBO,40,40,378,378,8,6,333,308,10,,3018,2829,1
Will,N/A,TNT,38,36,194,187,15,-22,770,724,15,,3901,3641,7
Ted Lasso,Apple TV+,,37,37,283,283,11,11,407,365,18,,3368,3067,1
Yellowjackets,N/A,Showtime,30,29,320,314,9,11,258,227,9,,2736,2537,1
Lost,N/A,jTBC,25,24,143,134,8,8,279,258,15,,1445,1319,1
Black,N/A,OCN,18,16,133,114,3,6,332,259,19,,1902,1520,1
Mrs. Davis,Peacock,,15,15,207,207,3,5,56,54,3,,683,666,1
The Great,Hulu,,15,7,148,99,2,0,148,75,4,,833,506,1
Family,N/A,ITV1,15,13,97,84,2,3,224,191,12,,1223,1007,1
Severance,Apple TV+,,15,15,89,89,3,1,288,223,15,,1967,1570,1
Trying,Apple TV+,,15,15,77,77,4,2,329,302,20,,1688,1571,1
Aile,N/A,Show TV,15,0,62,0,1,10,165,0,8,,792,0,4
The Act,Hulu,,14,0,107,0,10,-1,311,1,18,,2026,7,1
Loving,N/A,ABC,12,12,127,127,10,-4,235,221,14,,1910,1819,1
This Week,N/A,BBC One,12,10,117,105,1,5,254,182,15,,2188,1678,1
Class,Netflix,,12,6,110,95,4,-5,189,94,6,,1396,772,1
House,N/A,FOX,12,11,60,56,5,-6,251,195,13,,1252,964,1
Rain,MX Player,,12,9,40,25,1,3,189,127,10,,1226,742,1
Finally,N/A,MBC,11,11,149,149,1,5,89,89,4,,803,803,14
Anne,N/A,ITV1,11,3,105,47,1,2,158,21,5,,919,175,1
The Americans,N/A,NBC,11,9,78,75,1,2,153,134,6,,1175,1088,1
Drops of God,Apple TV+,,11,10,77,76,1,4,41,40,1,,363,362,4
Today,N/A,NBC,11,10,69,64,1,4,133,113,2,,810,698,1
Detective,N/A,Lifetime,11,9,64,53,1,9,171,148,7,13-05-2023,1083,962,1
The Expanse,Prime Video,,11,10,59,50,1,8,113,83,2,,639,485,1
Extra,N/A,Syndication,11,2,50,6,1,4,227,21,10,,1855,107,1
Zero,Netflix,,11,10,42,40,1,11,69,56,1,,409,357,1
BEEF,Netflix,,10,9,137,135,7,-1,252,243,7,,3103,2990,16
The Last Thing He Told Me,Apple TV+,,10,10,81,81,1,8,21,20,1,,171,169,1
Power,N/A,STARZ,10,9,65,64,2,-11,243,148,10,,1551,821,1
Sona,YouTube,,10,0,56,0,9,-5,314,4,20,,1636,32,1
The Premise,Hulu,,10,10,47,47,2,0,179,166,9,,1176,1123,1
Pose,N/A,FX,9,4,71,25,0,0,217,57,10,20-05-2023,901,202,1
The Sopranos,N/A,HBO,9,7,65,54,0,0,158,137,7,,876,773,1
Friends,N/A,ABC,9,5,64,17,0,0,139,95,2,,800,463,1
Amazon,N/A,Syndication,9,9,62,62,0,0,197,175,9,20-05-2023,1414,1293,1
Happy,N/A,NBC,9,9,61,61,0,0,264,237,15,,1532,1337,1
The Wire,N/A,HBO,9,6,41,24,0,0,191,171,8,,1067,896,1
Thriller,N/A,ITV1,9,7,35,25,0,0,150,111,3,,852,563,1
Psych,N/A,USA Network,9,4,7,6,0,0,104,19,1,,528,71,1
Love & Death,Max,,8,5,90,44,0,0,42,27,1,,332,184,7
The Citadel,N/A,BBC One,8,8,79,79,0,0,52,51,2,,450,447,1
Citadel,Prime Video,,8,8,79,79,0,0,52,51,2,,450,447,1
Slow Horses,Apple TV+,,8,8,78,78,0,0,163,103,5,,1314,780,1
Catch,N/A,NPO 3,8,6,64,58,0,0,188,131,7,20-05-2023,1397,1047,1
Five,N/A,Fuji TV,8,7,55,46,0,0,74,62,0,,374,331,1
Caught,N/A,CBC,8,8,54,54,0,0,125,113,2,,882,842,1
Jury Duty,Amazon Freevee,,8,8,53,53,0,0,8,8,0,,53,53,21
Case,N/A,Stöð 2,8,8,50,50,0,0,197,151,7,,1085,844,1
The British,N/A,Sky Atlantic,8,8,43,43,0,0,149,132,4,,876,795,1
Chance,Hulu,,8,6,39,22,0,0,138,108,6,,711,579,1
Somebody,N/A,Mnet,8,8,38,38,0,0,58,56,1,,433,415,1
Somebody Somewhere,N/A,HBO,8,6,38,29,0,0,46,41,0,,291,259,1
Strange,N/A,BBC One,8,3,37,16,0,0,147,86,5,,633,369,1
Dogs,Netflix,,8,5,14,8,0,0,101,78,1,,626,479,1
Norm,N/A,ABC,8,0,10,0,0,0,138,5,2,20-05-2023,766,32,1
The Plot,Disney+,,7,7,64,64,0,0,208,169,6,,1253,1018,1
Wanted,N/A,SBS,7,7,59,59,0,0,184,160,8,20-05-2023,958,744,1
Home,Apple TV+,,7,7,56,56,0,0,167,76,3,,937,475,1
DAVE,N/A,ORF 1,7,7,52,52,0,0,73,62,3,20-05-2023,478,415,1
Return,N/A,SBS,7,5,47,36,0,0,98,60,1,,572,381,1
Fortuna,N/A,NRK1,7,0,45,0,0,0,100,0,0,,447,0,1
Solved,N/A,Investigation Discovery,7,7,44,44,0,0,32,29,0,,178,152,1
Riot,N/A,FOX,7,4,41,31,0,0,104,78,2,,566,503,1
Counterpart,N/A,STARZ,7,7,40,40,0,0,47,41,1,,223,196,1
Move,Netflix,,7,3,39,19,0,0,211,59,9,,922,323,1
Extraordinary,Disney+,,7,7,37,37,0,0,147,130,6,,1258,1120,1
Review,N/A,Comedy Central,7,2,34,3,0,0,201,45,9,,882,226,1
Major,N/A,NHK,7,5,32,22,0,0,108,77,1,,517,404,1
Fringe,N/A,FOX,7,6,29,27,0,0,58,50,0,,290,262,1
The Others,N/A,NBC,7,7,29,29,0,0,39,38,0,,126,112,1
