name,streaming,network,mentions,score,consecutive,gain,total top,last date
Love,N/A,MBC,82,417,6,-7,6,
Dark,Netflix,,38,236,6,3,6,
Star Wars: Andor,Disney+,,26,108,2,6,2,
Itch,N/A,ABC ME,25,133,1,17,1,
Severance,Apple TV+,,24,199,6,14,6,
Stone,N/A,ABC,21,81,1,12,1,
Alice,N/A,SBS,20,249,1,18,1,
Riot,N/A,FOX,19,73,1,19,1,
Patriot,Prime Video,,19,73,1,19,1,
Alice in Borderland,Netflix,,18,226,1,16,1,
Black,N/A,OCN,17,82,6,1,6,
Honest,N/A,ITV1,16,69,6,1,6,
The White Lotus,N/A,HBO,15,101,6,-14,6,
Trying,Apple TV+,,15,66,6,5,6,
Yellowstone,N/A,Paramount Network,15,60,1,7,1,
The Bear,Hulu,,14,130,2,-2,2,
The Recruit,Netflix,,14,100,2,1,2,
Pose,N/A,FX,14,40,1,11,1,17-12-2022
Slow Horses,Apple TV+,,13,119,1,4,1,17-12-2022
Norm,N/A,ABC,13,59,1,12,1,
Family,N/A,ITV1,13,56,6,3,6,
Murder,N/A,BBC Two,12,65,1,5,1,17-12-2022
The Act,Hulu,,12,63,6,-9,6,
Thriller,N/A,ITV1,12,57,1,3,1,
Anno,N/A,NRK1,12,49,1,3,1,17-12-2022
House,N/A,FOX,11,84,5,0,5,
Barry,N/A,HBO,11,78,1,7,1,
VICE,N/A,Showtime,11,57,1,4,1,
Release,Topic,,11,48,1,4,1,
Succession,N/A,HBO,11,34,2,-2,2,
Sent,N/A,HBO Asia,11,32,1,6,1,
Case,N/A,Stöð 2,11,30,1,2,1,
His Dark Materials,BBC iPlayer,,10,88,1,2,1,
The Game,Paramount+,,10,86,1,8,1,
Strange,N/A,BBC One,10,82,1,3,1,
Yellowjackets,N/A,Showtime,10,66,1,6,1,
Sona,YouTube,,10,59,5,-5,5,
The Rig,Prime Video,,10,58,3,-1,3,
Evil,Paramount+,,10,55,1,6,1,
House of the Dragon,N/A,HBO,10,54,1,6,1,
The Leftovers,N/A,HBO,10,45,5,0,5,
The English,BBC iPlayer,,10,42,1,6,1,
Atlanta,N/A,FX,10,39,1,7,1,
Soap,N/A,ABC,10,32,1,7,1,
Treason,Netflix,,10,31,1,10,1,
Detective,N/A,Lifetime,10,23,2,0,2,
The Expanse,Prime Video,,9,145,0,0,0,
Blood,N/A,Virgin Media One,9,98,0,0,0,
The Witcher: Blood Origin,Netflix,,9,98,0,0,0,
1899,Netflix,,9,72,0,0,0,24-12-2022
The Witcher,Netflix,,9,62,0,0,0,
Phenom,N/A,ABC,9,60,0,0,0,
Persona,Netflix,,9,53,0,0,0,24-12-2022
