,mentions,score,streaming,network
Ally,190,1260,N/A,FOX
Really,118,840,Prime Video,
1899,64,792,Netflix,
Star,91,770,N/A,FOX
King,95,674,N/A,Nicktoons
Episodes,81,590,N/A,Showtime
Star Wars: Andor,62,577,Disney+,
Love,80,574,N/A,MBC
From,68,549,EPIX.com,
Time,78,511,BBC iPlayer,
Dark,48,477,Netflix,
Arte,32,340,N/A,Tokyo MX
The First,66,328,Hulu,
The Show,49,325,Blackpills,
Bette,43,285,N/A,CBS
Last,45,283,N/A,jTBC
Look,51,269,N/A,Showtime
neXt,30,245,N/A,FOX
Next,30,245,N/A,MTV
Don't,40,234,N/A,ABC
Them,45,227,Prime Video,
Hile,23,219,YouTube,
Vera,27,215,BritBox,
The Peripheral,18,196,Prime Video,
Drama,26,191,N/A,RTVE
Stat,20,189,N/A,ABC
The Story,24,184,N/A,FOX News Channel
Before,29,179,Apple TV+,
Another,21,175,N/A,Tokyo MX
Roba,23,174,M2,MTV3
Back,37,168,All 4,
Hard,20,163,N/A,HBO Latin America
Haven,34,153,N/A,Syfy
Made,28,151,N/A,MTV
Lost,19,143,N/A,jTBC
The White Lotus,18,134,N/A,HBO
Absolutely,19,133,N/A,Channel 4
High,29,132,iWantTFC,
The Act,16,132,Hulu,
Times,25,126,N/A,OCN
Catch,9,120,N/A,NPO 3
The Crown,13,119,Netflix,
Sever,13,119,N/A,ČT1
Looking,20,117,N/A,HBO
The Plot,15,117,Disney+,
Live,20,112,N/A,tvN
Ellen,18,112,N/A,ABC
The English,25,109,BBC iPlayer,
The End,21,106,N/A,ON
Soundtrack,5,105,Netflix,
Between,16,104,Netflix,
Rising,14,103,Hill.TV,
Severance,12,103,Apple TV+,
Lace,12,98,ALLBLK,
Dead to Me,13,97,Netflix,
Atlanta,18,95,N/A,FX
Help,13,94,N/A,BBC Two
Mother,10,93,N/A,tvN
The Leftovers,8,91,N/A,HBO
Rise,17,90,N/A,NBC
Interview with the Vampire,5,89,AMC+,
The Great,11,87,Hulu,
Evil,18,86,Paramount+,
Special,17,86,Netflix,
Queen,9,84,MX Player,
Elementary,10,83,N/A,CBS
Happy,6,82,N/A,NBC
Else,14,78,N/A,TV 2
Today,7,78,N/A,NBC
Television,7,78,N/A,ITV
Land,19,77,N/A,SBS
Action,18,76,N/A,Showtime
Stone,13,76,N/A,ABC
Origin,13,72,YouTube Premium,
Anno,9,72,N/A,NRK1
House,7,72,N/A,FOX
Empire,7,72,N/A,CBS
Dangerous,2,72,MX Player,
Mila,15,71,N/A,SAT1 Emotions
This Week,12,71,N/A,BBC One
Pose,8,71,N/A,FX
Life,11,69,BBC iPlayer,
