,mentions,score,network,streaming
R,861,3766,,Claro Video
H,847,3678,Canal+,N/A
W,735,3176,MBC,N/A
F,685,3091,Fuji TV,N/A
ER,605,2933,NBC,N/A
K,576,2504,Tokyo MX,N/A
V,562,2739,NBC,N/A
ST,559,2637,NTV,N/A
Ed,520,2525,NBC,N/A
GO,330,1812,NBC,N/A
Us,322,1622,,BBC iPlayer
HOW,311,1721,CITV,N/A
Mo,270,1364,,Netflix
Son,242,1197,ATV,N/A
Ally,221,1347,FOX,N/A
Ike,206,867,ABC,N/A
You,203,791,,Netflix
Eve,201,1229,UPN,N/A
X,186,1077,WOWOW,N/A
Ted,155,958,,Peacock
Men,141,786,ABC,N/A
Really,137,931,,Prime Video
Kin,132,684,RTÉ ONE,AMC+
See,119,712,,Apple TV+
Jo,106,700,TF1,N/A
Des,106,673,ITV,N/A
She,104,761,Fuji TV,N/A
Star,104,749,FOX,N/A
Love,103,577,MBC,N/A
Rec,103,536,TBS,N/A
King,102,560,Nicktoons,N/A
Con,96,578,Comedy Central,N/A
Time,95,522,,BBC iPlayer
3,91,416,CBS,N/A
Ink,90,338,CBS,N/A
Episodes,88,564,Showtime,N/A
RED,87,564,,Vimeo
Bette,81,366,CBS,N/A
The First,77,460,,Hulu
From,76,417,,EPIX.com
Sin,72,388,,ZEE5
Last,70,335,jTBC,N/A
The Show,69,356,,Blackpills
Sam,59,266,TF1,N/A
Don't,59,264,ABC,N/A
Med,58,267,VRAK,N/A
Ice,58,253,Channel 4,N/A
Two,48,302,CTV,N/A
Look,46,331,Showtime,N/A
Arte,45,361,Tokyo MX,N/A
House,45,354,FOX,N/A
Rel,44,274,FOX,N/A
MAD,44,230,Cartoon Network,N/A
High,41,267,,iWantTFC
Back,41,242,,All 4
Ark,41,155,,Hulu
Vera,40,349,,BritBox
Nu,40,180,OCS Max,N/A
HIT,39,222,RTVE,N/A
Mai,38,212,,Netflix
House of the Dragon,37,297,HBO,N/A
Drama,36,232,RTVE,N/A
Them,34,201,,Prime Video
Run,32,235,Channel 4,N/A
RUN,32,235,HBO,N/A
Absolutely,31,268,Channel 4,N/A
Air,31,144,TBS,N/A
Power,29,316,STARZ,N/A
Another,29,198,Tokyo MX,N/A
Roba,29,174,MTV3,M2
The End,29,145,ON,N/A
The Lord of the Rings: The Rings of Power,27,268,,Prime Video
Dark,27,109,,Netflix
Action,26,179,Showtime,N/A
Hile,26,134,,YouTube
Made,26,123,MTV,N/A
Before,25,103,,Apple TV+
Fam,25,83,CBS,N/A
Haven,24,62,Syfy,N/A
neXt,23,188,FOX,N/A
Next,23,188,MTV,N/A
Special,23,137,,Netflix
Hank,23,50,NBC,N/A
Cyberpunk: Edgerunners,22,216,,Netflix
10,22,185,RTS Un,N/A
Asi,22,163,Kanal D,N/A
ALF,22,112,NBC,N/A
BRI,22,106,Canal+,N/A
The Patient,21,219,,Hulu
Land,21,169,SBS,N/A
The Story,21,139,FOX News Channel,N/A
Honest,21,110,ITV,N/A
The Capture,20,133,,BBC iPlayer
Dom,20,72,,Prime Video
Punk,19,198,EPIX,N/A
Looking,19,160,HBO,N/A
The Act,19,143,,Hulu
Between,19,136,,Netflix
Else,19,105,TV 2,N/A
Family,19,59,ITV,N/A
Times,18,118,OCN,N/A
Cane,17,157,CBS,N/A
Mom,17,125,MBC,N/A
Evil,17,125,,Paramount+
MAID,17,108,,Netflix
Black,17,105,OCN,N/A
Ana,17,82,,Prime Video
The Resort,17,82,,Peacock
Help,17,78,BBC Two,N/A
Big,17,73,KBS2,N/A
Ellen,17,68,ABC,N/A
Succession,17,38,HBO,N/A
Sona,16,60,,YouTube
Trying,16,53,,Apple TV+
She-Hulk: Attorney at Law,15,170,,Disney+
Loving,15,156,ABC,N/A
Atlanta,15,122,FX,N/A
Better Call Saul,15,114,AMC,N/A
Pantheon,15,109,,AMC+
Arcane,15,104,,Netflix
Mot,15,101,France 3,N/A
Persona,15,58,,Netflix
Pet,15,58,RTS1,N/A
Thanks,15,32,CBS,N/A
Sever,14,213,ČT1,N/A
Away,14,124,,Netflix
Game of Thrones,14,111,HBO,N/A
Primal,14,93,Adult Swim,N/A
Breaking Bad,14,88,AMC,N/A
Origin,14,55,,YouTube Premium
Girls,14,43,HBO,N/A
GIRLS,14,43,UBS,N/A
Rise,13,134,NBC,N/A
Life,13,78,,BBC iPlayer
LIFE,13,78,Fuji TV,N/A
Bod,13,70,BBC One,N/A
Cobra,13,70,Syndication,N/A
Cobra Kai,13,70,,Netflix
COBRA,13,70,,Sky Go
Severance,12,199,,Apple TV+
Monster: The Jeffrey Dahmer Story,12,87,,Netflix
Live,12,64,tvN,N/A
Huge,12,55,FreeForm,N/A
Release,12,38,,Topic
VICE,12,28,Showtime,N/A
Dogs,11,113,,Netflix
Catch,11,96,NPO 3,N/A
Strange,11,79,BBC One,N/A
Universe,11,76,BBC Two,N/A
Cult,11,65,The CW,N/A
Home,11,59,,Apple TV+
Case,11,57,Stöð 2,N/A
Doc,11,51,ION Television,N/A
AMO,11,44,TV5,N/A
Mila,11,40,SAT1 Emotions,N/A
Move,11,37,,Netflix
Kingdom,11,29,Mnet,N/A
Reservation Dogs,10,111,,Hulu
The Great,10,98,,Hulu
Review,10,96,Comedy Central,N/A
The Sandman,10,94,,Netflix
Sisters,10,84,Network 10,N/A
Caught,10,80,CBC,N/A
Cro,10,62,ABC,N/A
Mad Men,10,61,AMC,N/A
Rick and Morty,10,57,Adult Swim,N/A
Hard,10,55,HBO Latin America,N/A
ReBoot,10,46,YTV,N/A
Reboot,10,46,,Hulu
Amazon,10,42,Syndication,N/A
Anne,10,38,ITV,N/A
Believe,10,34,NBC,N/A
Released,10,26,Oprah Winfrey Network,N/A
Delete,10,11,REELZ,N/A
Welcome,9,98,KBS2,N/A
STEVE,9,94,Syndication,N/A
This Week,9,91,BBC One,N/A
Sign,9,89,TV Asahi,N/A
Anno,9,63,NRK1,N/A
Happy,9,59,NBC,N/A
The Leftovers,9,52,HBO,N/A
Together,9,49,ITV,N/A
ToGetHer,9,49,CTV,N/A
Roc,9,47,FOX,N/A
Space,9,46,CBS,N/A
Lost,9,44,jTBC,N/A
The Wire,9,28,HBO,N/A
Wir,9,28,ZDFneo,N/A
rage,9,24,ABC,N/A
Peacock,9,24,,BBC iPlayer
Five,8,128,Fuji TV,N/A
Dope,8,107,,Netflix
Rex,8,92,Televízia Markíza,N/A
Welcome to Wrexham,8,92,FX,Hulu
The Plot,8,56,,Disney+
Itch,8,52,ABC ME,N/A
Barry,8,47,HBO,N/A
Norm,8,43,ABC,N/A
Ray,8,34,,Netflix
Gran,8,25,BBC One,N/A
Monster,8,24,NRK1,N/A
The One,8,19,,Netflix
Out There,8,10,IFC,N/A
The Bear,7,77,,Hulu
Shadow,7,75,,Netflix
Bad Sisters,7,74,,Apple TV+
Thriller,7,69,ITV,N/A
Legit,7,64,BBC One,N/A
Raw,7,57,RTÉ ONE,N/A
Harley Quinn,7,54,,HBO Max
Working,7,52,NBC,N/A
Rush,7,44,Network 10,N/A
Industry,7,41,,HBO Max
Stranger Things,7,39,,Netflix
Pose,7,39,FX,N/A
Stranger,7,39,tvN,N/A
Black Sails,7,38,STARZ,N/A
Lace,7,38,,ALLBLK
Sex,7,37,TV2,N/A
Supernatural,7,36,BBC One,N/A
Elementary,7,36,CBS,N/A
Murder,7,35,BBC Two,N/A
Ghost,7,31,SBS,N/A
Detective,7,31,Lifetime,N/A
Brot,7,20,Ríkisútvarpið,N/A
The Last Kingdom,7,13,,Netflix
49,7,12,NTV,N/A
Five Days,6,125,BBC One,N/A
Five Days at Memorial,6,125,,Apple TV+
Dopesick,6,98,,Hulu
Shadows,6,74,ITV,N/A
The Handmaid's Tale,6,72,,Hulu
Arrow,6,68,The CW,N/A
Castle,6,56,ABC,N/A
The Expanse,6,51,,Prime Video
Played,6,51,CTV,N/A
For All Mankind,6,46,,Apple TV+
Heartbreak High,6,45,,Netflix
Black Bird,6,39,,Apple TV+
Person of Interest,6,37,CBS,N/A
Money,6,36,BBC Two,N/A
18,6,34,Antena 3,N/A
Dive,6,33,BBC Two,N/A
Epic,6,26,Destination America,N/A
Mother,6,25,tvN,N/A
Psych,6,23,USA Network,N/A
TBH,6,14,Czechoslovak Television,N/A
School,6,5,BBC Two,N/A
What We Do in the Shadows,5,63,FX,N/A
The Americans,5,58,NBC,N/A
The Sopranos,5,53,HBO,N/A
Extra,5,49,Syndication,N/A
Castlevania,5,46,,Netflix
Mr. Robot,5,41,USA Network,N/A
Ella,5,38,VTM,N/A
House of Drag,5,37,,TVNZ OnDemand
Cos,5,33,ABC,N/A
Toon,5,32,,KPN Presenteert
Baby,5,32,,Netflix
Soap,5,31,ABC,N/A
Archer,5,29,NBC,N/A
Abbott Elementary,5,29,ABC,N/A
Killing It,5,28,,Peacock
Treme,5,26,HBO,N/A
Major,5,25,NHK,N/A
The Imperfects,5,25,,Netflix
Luck,5,23,HBO,N/A
Punch,5,23,SBS,N/A
The Boys,5,23,,Prime Video
Rain,5,23,,MX Player
SIX,5,21,History,N/A
Rising,5,21,,Hill.TV
Six,5,21,,Hoichoi
Homeland,5,20,Showtime,N/A
Justice,5,20,ITV,N/A
Aspe,5,20,VTM,N/A
Ghosts,5,20,CBS,N/A
The Game,5,19,,Paramount+
All That,5,19,Nickelodeon,N/A
Boj,5,19,CBeebies,N/A
Chernobyl,5,19,HBO,N/A
Related,5,18,The WB,N/A
Lodge 49,5,18,AMC,AMC Premiere
Grand,5,18,NBC,N/A
Sent,5,18,HBO Asia,N/A
Wanted,5,17,SBS,N/A
Random,5,17,,YouTube
